"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2016",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"35,819","35,710",109,"25,127","2,295",703,"2,367","19,717",45,"22,974",8.6%,1.55
Westlake Village    ,"8,470","8,342",128,"3,385","2,371",626,109,152,127,"3,275",3.2%,2.55
Whittier            ,"87,680","86,045","1,635","29,607","19,365","1,167","2,308","6,574",193,"28,484",3.8%,3.02
,,,,,,,,,,, ,
Balance Of County    ,"1,059,276","1,041,541","17,735","311,784","220,326","18,275","17,869","44,846","10,468","294,675",5.5%,3.54
Incorporated,"9,126,575","8,963,806","162,769","3,192,389","1,502,581","211,940","268,468","1,161,571","47,829","3,002,320",6.0%,2.99
 ,,,,,,,,,,, ,
County Total,"10,185,851","10,005,347","180,504","3,504,173","1,722,907","230,215","286,337","1,206,417","58,297","3,296,995",5.9%,3.03
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"18,396","12,104","6,292","4,348","3,463",79,400,392,14,"3,865",11.1%,3.13
Madera              ,"64,418","63,827",591,"17,525","12,697",324,"2,169","1,886",449,"16,441",6.2%,3.88
,,,,,,,,,,, ,
Balance Of County    ,"72,035","71,431",604,"28,105","23,747",256,810,336,"2,956","23,742",15.5%,3.01
Incorporated,"82,814","75,931","6,883","21,873","16,160",403,"2,569","2,278",463,"20,306",7.2%,3.74
 ,,,,,,,,,,, ,
County Total,"154,849","147,362","7,487","49,978","39,907",659,"3,379","2,614","3,419","44,048",11.9%,3.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,160","2,160",0,"1,048",882,48,81,37,0,930,11.3%,2.32
Corte Madera        ,"9,684","9,684",0,"4,027","2,498",609,373,547,0,"3,808",5.4%,2.54
Fairfax             ,"7,742","7,720",22,"3,586","2,276",342,486,469,13,"3,371",6.0%,2.29
Larkspur            ,"12,650","12,527",123,"6,473","2,649",426,484,"2,625",289,"6,013",7.1%,2.08
Mill Valley         ,"14,718","14,642",76,"6,628","4,381",645,347,"1,241",14,"6,178",6.8%,2.37
Novato              ,"54,362","53,731",631,"21,414","12,561","3,427","1,321","3,557",548,"20,400",4.7%,2.63
Ross                ,"2,540","2,488",52,891,830,16,19,26,0,806,9.5%,3.09
San Anselmo         ,"12,949","12,896",53,"5,549","4,202",264,356,690,37,"5,277",4.9%,2.44
San Rafael          ,"60,196","58,069","2,127","24,033","11,106","2,385","2,088","8,047",407,"22,799",5.1%,2.55
Sausalito           ,"7,457","7,444",13,"4,576","1,773",827,953,938,85,"4,164",9.0%,1.79
Tiburon             ,"9,405","9,367",38,"4,029","2,637",384,370,624,14,"3,753",6.9%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"69,281","64,484","4,797","29,658","22,782","1,902","1,410","2,993",571,"26,335",11.2%,2.45
Incorporated,"193,863","190,728","3,135","82,254","45,795","9,373","6,878","18,801","1,407","77,499",5.8%,2.46
 ,,,,,,,,,,, ,
County Total,"263,144","255,212","7,932","111,912","68,577","11,275","8,288","21,794","1,978","103,834",7.2%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,151","17,426",725,"10,467","7,034",187,529,309,"2,408","7,914",24.4%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,471","7,212",259,"3,242","2,038",146,390,354,314,"2,947",9.1%,2.45
Point Arena         ,453,453,0,228,147,11,34,11,25,194,14.9%,2.34
Ukiah               ,"16,034","15,311",723,"6,523","3,596",412,839,"1,237",439,"6,170",5.4%,2.48
Willits             ,"4,975","4,881",94,"2,091","1,134",93,307,280,277,"1,950",6.7%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"59,886","58,987",899,"28,743","21,690",708,949,909,"4,487","24,150",16.0%,2.44
Incorporated,"28,933","27,857","1,076","12,084","6,915",662,"1,570","1,882","1,055","11,261",6.8%,2.47
 ,,,,,,,,,,, ,
County Total,"88,819","86,844","1,975","40,827","28,605","1,370","2,519","2,791","5,542","35,411",13.3%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"30,220","30,118",102,"9,908","6,343",616,"1,627",582,740,"9,244",6.7%,3.26
Dos Palos           ,"5,347","5,319",28,"1,717","1,470",0,81,120,46,"1,581",7.9%,3.36
Gustine             ,"5,786","5,786",0,"2,100","1,732",48,85,84,151,"1,919",8.6%,3.02
Livingston          ,"13,995","13,991",4,"3,433","2,866",11,189,312,55,"3,296",4.0%,4.25
Los Banos           ,"39,013","38,832",181,"11,597","9,702",142,479,878,396,"10,848",6.5%,3.58
Merced              ,"84,251","83,090","1,161","27,633","16,936","1,043","4,099","4,809",746,"25,891",6.3%,3.21
,,,,,,,,,,, ,
Balance Of County    ,"93,017","88,749","4,268","28,272","22,256",823,"1,007",738,"3,448","25,354",10.3%,3.50
Incorporated,"178,612","177,136","1,476","56,388","39,049","1,860","6,560","6,785","2,134","52,779",6.4%,3.36
,,,,,,,,,,, ,
County Total,"271,629","265,885","5,744","84,660","61,305","2,683","7,567","7,523","5,582","78,133",7.7%,3.40
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,785","2,761",24,"1,404","1,083",25,84,131,81,"1,228",12.5%,2.25
,,,,,,,,,,, ,
Balance Of County    ,"6,828","6,500",328,"3,848","2,852",84,35,30,847,"2,850",25.9%,2.28
Incorporated,"2,785","2,761",24,"1,404","1,083",25,84,131,81,"1,228",12.5%,2.25
 ,,,,,,,,,,, ,
County Total,"9,613","9,261",352,"5,252","3,935",109,119,161,928,"4,078",22.4%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,074","7,916",158,"9,672","2,405",290,"2,406","4,424",147,"3,294",65.9%,2.40
,,,,,,,,,,, ,
Balance Of County    ,"5,642","5,475",167,"4,328","2,891",115,282,123,917,"2,450",43.4%,2.24
Incorporated,"8,074","7,916",158,"9,672","2,405",290,"2,406","4,424",147,"3,294",65.9%,2.40
 ,,,,,,,,,,, ,
County Total,"13,716","13,391",325,"14,000","5,296",405,"2,688","4,547","1,064","5,744",59.0%,2.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,868","3,868",0,"3,421","2,806",173,207,235,0,"2,092",38.8%,1.85
Del Rey Oaks        ,"1,685","1,685",0,741,586,25,19,111,0,693,6.5%,2.43
Gonzales            ,"8,543","8,537",6,"1,987","1,459",128,21,354,25,"1,896",4.6%,4.50
Greenfield          ,"17,629","17,600",29,"3,856","2,987",117,261,425,66,"3,562",7.6%,4.94
King City           ,"14,254","14,195",59,"3,302","1,900",276,323,554,249,"3,176",3.8%,4.47
Marina              ,"21,669","20,023","1,646","7,334","3,299",678,"1,068","2,037",252,"6,941",5.4%,2.89
Monterey            ,"28,594","26,173","2,421","13,640","5,903",830,"2,618","4,240",49,"12,176",10.7%,2.15
Pacific Grove       ,"15,734","15,379",355,"8,185","4,743",499,"1,110","1,682",151,"7,010",14.4%,2.19
Salinas             ,"160,916","158,693","2,223","43,077","23,669","2,731","4,199","11,127","1,351","41,291",4.1%,3.84
Sand City           ,371,328,43,177,73,6,36,60,2,138,22.0%,2.38
Seaside             ,"34,088","32,907","1,181","10,914","6,809","1,271",883,"1,368",583,"10,081",7.6%,3.26
Soledad             ,"25,652","16,683","8,969","3,927","3,074",81,237,327,208,"3,728",5.1%,4.48
,,,,,,,,,,, ,
Balance Of County    ,"105,156","101,494","3,662","38,874","30,754","2,096","1,514","1,749","2,761","33,481",13.9%,3.03
Incorporated,"333,003","316,071","16,932","100,561","57,308","6,815","10,982","22,520","2,936","92,784",7.7%,3.41
 ,,,,,,,,,,, ,
County Total,"438,159","417,565","20,594","139,435","88,062","8,911","12,496","24,269","5,697","126,265",9.4%,3.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"20,369","20,313",56,"6,069","4,916",47,23,234,849,"5,768",5.0%,3.52
Calistoga           ,"5,397","5,342",55,"2,370","1,154",89,243,283,601,"2,058",13.2%,2.60
Napa                ,"79,587","78,411","1,176","30,423","18,855","2,129","2,951","5,123","1,365","28,413",6.6%,2.76
St Helena           ,"6,134","6,036",98,"2,867","1,831",177,179,525,155,"2,469",13.9%,2.45
Yountville          ,"3,094","2,110",984,"1,292",643,153,99,98,299,"1,110",14.1%,1.90
,,,,,,,,,,, ,
Balance Of County    ,"27,197","24,651","2,546","12,359","10,489",367,609,367,527,"9,692",21.6%,2.54
Incorporated,"114,581","112,212","2,369","43,021","27,399","2,595","3,495","6,263","3,269","39,818",7.4%,2.82
 ,,,,,,,,,,, ,
County Total,"141,778","136,863","4,915","55,380","37,888","2,962","4,104","6,630","3,796","49,510",10.6%,2.76
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,805","12,346",459,"6,687","2,970",233,977,"2,068",439,"6,131",8.3%,2.01
Nevada City         ,"3,151","2,856",295,"1,538","1,206",72,137,111,12,"1,388",9.8%,2.06
Truckee             ,"16,230","16,187",43,"13,118","11,037",206,903,530,442,"6,449",50.8%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"66,524","66,107",417,"32,004","28,966",329,233,202,"2,274","28,077",12.3%,2.35
Incorporated,"32,186","31,389",797,"21,343","15,213",511,"2,017","2,709",893,"13,968",34.6%,2.25
 ,,,,,,,,,,, ,
County Total,"98,710","97,496","1,214","53,347","44,179",840,"2,250","2,911","3,167","42,045",21.2%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"50,232","49,763",469,"19,354","7,049","5,232",666,"6,407",0,"18,660",3.6%,2.67
Anaheim             ,"354,892","351,335","3,557","106,626","44,966","9,162","11,390","36,423","4,685","101,261",5.0%,3.47
Brea                ,"43,821","43,752",69,"16,028","9,073","1,429",506,"4,016","1,004","15,529",3.1%,2.82
Buena Park          ,"82,842","82,028",814,"24,725","14,386","1,812","1,740","6,434",353,"23,777",3.8%,3.45
Costa Mesa          ,"114,609","111,968","2,641","42,643","16,804","4,330","5,699","14,880",930,"40,783",4.4%,2.75
Cypress             ,"49,499","48,997",502,"16,194","9,844","2,665",580,"2,684",421,"15,819",2.3%,3.10
Dana Point          ,"34,245","34,004",241,"16,016","8,742","2,010","2,648","2,372",244,"14,208",11.3%,2.39
Fountain Valley     ,"57,036","56,599",437,"19,304","12,661","1,956",690,"3,606",391,"18,765",2.8%,3.02
Fullerton           ,"142,067","137,921","4,146","48,743","24,466","4,928","4,049","14,420",880,"46,247",5.1%,2.98
Garden Grove        ,"175,283","173,342","1,941","47,761","27,350","3,971","4,181","10,631","1,628","46,090",3.5%,3.76
Huntington Beach    ,"200,910","200,020",890,"80,837","39,048","9,425","9,659","19,618","3,087","76,888",4.9%,2.60
Irvine              ,"256,357","239,889","16,468","95,216","36,784","16,722","5,436","35,109","1,165","89,616",5.9%,2.68
Laguna Beach        ,"23,347","23,258",89,"12,992","8,566",688,"1,522","1,927",289,"10,848",16.5%,2.14
Laguna Hills        ,"31,033","30,664",369,"10,996","6,402","1,917",571,"1,754",352,"10,422",5.2%,2.94
Laguna Niguel       ,"64,743","64,495",248,"25,458","14,524","5,107","1,406","4,373",48,"24,305",4.5%,2.65
Laguna Woods,"16,646","16,479",167,"13,079",918,"3,721","2,237","6,203",0,"11,340",13.3%,1.45
La Habra            ,"62,172","61,832",340,"20,073","10,671","1,509","1,553","5,447",893,"19,111",4.8%,3.24
Lake Forest         ,"82,594","82,079",515,"28,443","15,198","4,136","1,521","6,313","1,275","27,385",3.7%,3.00
La Palma            ,"15,937","15,917",20,"5,234","3,764",469,127,861,13,"5,074",3.1%,3.14
Los Alamitos        ,"11,819","11,576",243,"4,388","2,092",371,770,"1,050",105,"4,244",3.3%,2.73
Mission Viejo       ,"96,888","95,946",942,"34,875","24,717","4,257",910,"4,940",51,"33,632",3.6%,2.85
Newport Beach       ,"86,844","86,442",402,"44,170","20,143","7,010","5,107","10,790","1,120","38,544",12.7%,2.24
Orange              ,"140,186","133,963","6,223","45,272","26,051","4,865","4,881","8,253","1,222","43,543",3.8%,3.08
Placentia           ,"52,782","52,445",337,"17,155","10,175","1,913","1,391","3,090",586,"16,675",2.8%,3.15
Rancho Santa Margarita,"49,342","49,340",2,"17,309","9,355","3,579",622,"3,743",10,"16,765",3.1%,2.94
San Clemente        ,"65,556","65,283",273,"26,217","14,927","2,600","4,122","3,969",599,"24,071",8.2%,2.71
San Juan Capistrano ,"36,285","36,198",87,"12,262","6,642","2,362",795,"1,079","1,384","11,661",4.9%,3.10
Santa Ana           ,"338,250","333,640","4,610","77,610","35,601","5,691","7,543","24,726","4,049","74,456",4.1%,4.48
Seal Beach          ,"25,262","25,023",239,"14,534","4,731","1,518","1,118","7,012",155,"13,281",8.6%,1.88
Stanton             ,"39,562","39,212",350,"11,355","3,118","1,803","1,317","3,679","1,438","10,945",3.6%,3.58
Tustin              ,"81,509","80,989",520,"27,821","9,559","3,564","4,048","9,741",909,"26,544",4.6%,3.05
Villa Park          ,"5,972","5,927",45,"2,024","1,992",24,8,0,0,"1,981",2.1%,2.99
Westminster         ,"92,998","92,328",670,"27,791","14,970","2,056","2,491","5,129","3,145","26,471",4.7%,3.49
Yorba Linda         ,"67,949","67,759",190,"23,111","18,032","2,363",826,"1,458",432,"22,269",3.6%,3.04
,,,,,,,,,,, ,
Balance Of County    ,"125,476","124,708",768,"40,582","30,894","4,215",854,"3,988",631,"39,019",3.9%,3.20
Incorporated,"3,049,469","3,000,413","49,056","1,035,616","513,321","125,165","92,130","272,137","32,863","981,210",5.3%,3.06
 ,,,,,,,,,,, ,
County Total,"3,174,945","3,125,121","49,824","1,076,198","544,215","129,380","92,984","276,125","33,494","1,020,229",5.2%,3.06
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"14,110","13,832",278,"6,266","4,209",298,760,999,0,"5,971",4.7%,2.32
Colfax              ,"2,048","2,043",5,926,604,48,186,67,21,840,9.3%,2.43
Lincoln             ,"46,974","46,859",115,"18,574","16,701",373,374,"1,055",71,"17,694",4.7%,2.65
Loomis              ,"6,686","6,665",21,"2,508","2,149",142,97,0,120,"2,398",4.4%,2.78
Rocklin             ,"61,595","60,977",618,"23,272","16,895",790,"1,094","3,991",502,"22,028",5.3%,2.77
Roseville           ,"132,000","131,153",847,"51,590","37,461","1,414","2,827","9,498",390,"49,028",5.0%,2.68
,,,,,,,,,,, ,
Balance Of County    ,"113,030","111,147","1,883","57,233","47,012","1,130","3,083","2,846","3,162","42,335",26.0%,2.63
Incorporated,"263,413","261,529","1,884","103,136","78,019","3,065","5,338","15,610","1,104","97,959",5.0%,2.67
 ,,,,,,,,,,, ,
County Total,"376,443","372,676","3,767","160,369","125,031","4,195","8,421","18,456","4,266","140,294",12.5%,2.66
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"2,023","1,999",24,"1,127",806,0,9,139,173,882,21.7%,2.27
,,,,,,,,,,, ,
Balance Of County    ,"17,832","17,565",267,"14,654","11,400",393,322,528,"2,011","8,328",43.2%,2.11
Incorporated,"2,023","1,999",24,"1,127",806,0,9,139,173,882,21.7%,2.27
 ,,,,,,,,,,, ,
County Total,"19,855","19,564",291,"15,781","12,206",393,331,667,"2,184","9,210",41.6%,2.12
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"30,497","29,132","1,365","12,161","9,180",502,677,659,"1,143","10,805",11.2%,2.70
Beaumont            ,"44,746","44,272",474,"14,864","12,578",243,680,843,520,"13,867",6.7%,3.19
Blythe              ,"19,338","13,321","6,017","5,471","3,194",136,757,760,624,"4,480",18.1%,2.97
Calimesa            ,"8,487","8,436",51,"3,851","2,350",130,52,0,"1,319","3,451",10.4%,2.45
Canyon Lake         ,"11,021","11,012",9,"4,555","4,205",134,73,76,67,"3,969",12.9%,2.78
Cathedral City      ,"53,448","53,158",290,"21,080","11,748","2,845","2,268","1,744","2,475","17,201",18.4%,3.09
Coachella           ,"44,836","44,778",58,"10,397","7,343",312,"1,002","1,111",629,"9,578",7.9%,4.68
Corona              ,"162,819","162,173",646,"48,185","32,860","2,142","2,201","9,314","1,668","46,384",3.7%,3.50
Desert Hot Springs  ,"28,564","28,446",118,"11,507","7,241",189,"1,671","1,535",871,"9,209",20.0%,3.09
Eastvale,"62,912","62,848",64,"16,424","14,664",416,266,530,548,"15,459",5.9%,4.07
Hemet               ,"82,503","81,889",614,"35,931","17,448","1,549","2,226","4,870","9,838","30,508",15.1%,2.68
Indian Wells        ,"5,307","5,301",6,"5,262","3,489","1,140",266,367,0,"2,841",46.0%,1.87
Indio               ,"85,583","84,654",929,"31,449","21,147","1,344","2,192","3,579","3,187","25,467",19.0%,3.32
Jurupa Valley,"100,683","99,898",785,"27,101","20,872","1,026",788,"2,449","1,966","25,644",5.4%,3.90
Lake Elsinore       ,"60,760","60,328",432,"18,255","13,901",812,"1,025","1,791",726,"16,775",8.1%,3.60
La Quinta           ,"40,269","40,212",57,"24,432","19,000","2,458","1,136","1,607",231,"15,393",37.0%,2.61
Menifee,"87,943","87,755",188,"32,776","27,721",942,481,"1,060","2,572","30,110",8.1%,2.91
Moreno Valley       ,"203,216","202,662",554,"56,033","45,220","1,127","1,505","6,817","1,364","52,397",6.5%,3.87
Murrieta            ,"113,087","112,658",429,"35,818","26,931","1,231",858,"5,135","1,663","34,600",3.4%,3.26
Norco               ,"26,560","23,668","2,892","7,321","6,968",98,39,194,22,"7,086",3.2%,3.34
Palm Desert         ,"51,768","51,460",308,"38,167","15,160","10,986","2,943","5,374","3,704","23,880",37.4%,2.16
Palm Springs        ,"47,103","46,564",539,"35,490","13,243","8,471","2,905","8,724","2,147","23,253",34.5%,2.00
Perris              ,"75,113","74,873",240,"18,754","14,332",391,631,"1,725","1,675","17,375",7.4%,4.31
Rancho Mirage       ,"18,221","18,157",64,"14,403","7,761","4,187",725,835,895,"9,031",37.3%,2.01
Riverside           ,"321,723","309,388","12,335","99,859","63,958","3,915","6,388","23,371","2,227","94,016",5.9%,3.29
San Jacinto         ,"46,778","46,550",228,"15,177","10,067","1,031",701,562,"2,816","13,453",11.4%,3.46
Temecula            ,"110,474","110,345",129,"36,147","28,349","1,300",847,"5,492",159,"33,897",6.2%,3.26
Wildomar,"34,948","34,906",42,"11,193","7,695",44,27,552,"2,875","10,488",6.3%,3.33
,,,,,,,,,,, ,
Balance Of County    ,"372,285","368,106","4,179","136,320","95,723","2,492","3,300","3,401","31,404","114,773",15.8%,3.21
Incorporated,"1,978,707","1,948,844","29,863","692,063","468,625","49,101","35,330","91,076","47,931","600,617",13.2%,3.24
 ,,,,,,,,,,, ,
County Total,"2,350,992","2,316,950","34,042","828,383","564,348","51,593","38,630","94,477","79,335","715,390",13.6%,3.24
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"86,871","86,385",486,"35,105","19,325","3,091","3,330","7,536","1,823","33,091",5.7%,2.61
Elk Grove,"166,967","166,298",669,"53,269","46,168","1,537",962,"4,319",283,"50,776",4.7%,3.28
Folsom              ,"76,754","71,355","5,399","27,447","19,526",811,"1,269","4,937",904,"26,485",3.5%,2.69
Galt                ,"25,165","25,016",149,"7,885","6,557",504,134,334,356,"7,504",4.8%,3.33
Isleton             ,825,825,0,424,239,0,112,10,63,331,21.9%,2.49
Rancho Cordova,"71,587","71,262",325,"26,861","15,756","1,688","2,054","5,849","1,514","25,161",6.3%,2.83
Sacramento          ,"486,154","477,783","8,371","192,029","114,209","13,063","18,531","43,032","3,194","176,737",8.0%,2.70
,,,,,,,,,,, ,
Balance Of County    ,"583,804","576,699","7,105","221,497","142,396","14,072","18,561","39,761","6,707","207,178",6.5%,2.78
Incorporated,"914,323","898,924","15,399","343,020","221,780","20,694","26,392","66,017","8,137","320,085",6.7%,2.81
 ,,,,,,,,,,, ,
County Total,"1,498,127","1,475,623","22,504","564,517","364,176","34,766","44,953","105,778","14,844","527,263",6.6%,2.80
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"37,903","37,682",221,"10,829","7,912",319,"1,242",995,361,"10,364",4.3%,3.64
San Juan Bautista   ,"1,943","1,938",5,750,449,76,130,70,25,690,8.0%,2.81
,,,,,,,,,,, ,
Balance Of County    ,"19,185","19,016",169,"6,768","5,840",344,36,85,463,"6,317",6.7%,3.01
Incorporated,"39,846","39,620",226,"11,579","8,361",395,"1,372","1,065",386,"11,054",4.5%,3.58
 ,,,,,,,,,,, ,
County Total,"59,031","58,636",395,"18,347","14,201",739,"1,408","1,150",849,"17,371",5.3%,3.38
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"34,367","32,952","1,415","9,452","7,550",203,468,773,458,"8,392",11.2%,3.93
Apple Valley        ,"72,234","71,773",461,"26,549","20,310",856,"2,509","1,435","1,439","24,143",9.1%,2.97
Barstow             ,"23,875","23,492",383,"9,660","5,532",202,"1,330","1,742",854,"8,345",13.6%,2.82
Big Bear Lake       ,"5,279","5,253",26,"9,830","8,170",86,521,557,496,"2,252",77.1%,2.33
Chino               ,"85,284","79,800","5,484","23,808","16,583","1,195","1,237","4,194",599,"22,881",3.9%,3.49
Chino Hills         ,"78,225","78,070",155,"24,133","19,514",883,623,"2,486",627,"23,489",2.7%,3.32
Colton              ,"53,739","53,409",330,"16,430","9,630",564,"1,593","3,727",916,"15,104",8.1%,3.54
Fontana             ,"206,606","206,162",444,"53,358","42,689","1,231","2,126","5,772","1,540","50,674",5.0%,4.07
Grand Terrace       ,"12,472","12,359",113,"4,683","2,893",158,471,869,292,"4,466",4.6%,2.77
Hesperia            ,"93,173","93,145",28,"29,152","23,620",705,"1,504","1,818","1,505","26,734",8.3%,3.48
Highland            ,"54,562","54,390",172,"16,645","12,737",299,678,"1,976",955,"15,563",6.5%,3.50
Loma Linda          ,"23,868","23,142",726,"9,696","4,491",717,"1,235","2,596",657,"8,841",8.8%,2.62
Montclair           ,"38,841","38,445",396,"10,388","5,867",479,"1,081","2,065",896,"9,882",4.9%,3.89
Needles             ,"5,013","5,008",5,"2,894","1,937",60,262,243,392,"1,943",32.9%,2.58
Ontario             ,"170,268","169,439",829,"48,079","28,463","3,114","5,076","9,259","2,167","45,677",5.0%,3.71
Rancho Cucamonga    ,"175,717","172,938","2,779","58,988","36,747","3,685","2,757","14,259","1,540","56,782",3.7%,3.05
Redlands            ,"71,033","68,665","2,368","26,787","17,117","1,202","3,136","4,246","1,086","25,078",6.4%,2.74
Rialto              ,"105,554","105,107",447,"27,471","19,623",739,"1,660","3,703","1,746","26,268",4.4%,4.00
San Bernardino      ,"216,834","209,841","6,993","65,589","39,421","1,909","5,107","14,947","4,205","60,110",8.4%,3.49
Twentynine Palms    ,"25,838","22,413","3,425","9,676","5,825",775,"2,181",588,307,"8,248",14.8%,2.72
Upland              ,"77,080","76,398",682,"27,607","15,906","1,762","2,894","6,180",865,"26,438",4.2%,2.89
Victorville         ,"124,600","119,570","5,030","37,614","29,758",288,"1,716","4,103","1,749","34,396",8.6%,3.48
Yucaipa             ,"53,692","53,138",554,"19,987","13,689",550,734,588,"4,426","18,665",6.6%,2.85
Yucca Valley        ,"21,672","21,453",219,"9,683","7,456",299,702,470,756,"8,485",12.4%,2.53
,,,,,,,,,,, ,
Balance Of County    ,"306,416","302,557","3,859","133,622","111,073","2,926","4,079","2,247","13,297","96,928",27.5%,3.12
Incorporated,"1,829,826","1,796,362","33,464","578,159","395,528","21,961","41,601","88,596","30,473","532,856",7.8%,3.37
 ,,,,,,,,,,, ,
County Total,"2,136,242","2,098,919","37,323","711,781","506,601","24,887","45,680","90,843","43,770","629,784",11.5%,3.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"112,860","111,945",915,"46,340","24,587","7,751","2,567","10,155","1,280","42,975",7.3%,2.61
Chula Vista         ,"263,658","262,054","1,604","82,711","45,034","8,415","4,712","20,485","4,065","79,218",4.2%,3.31
Coronado            ,"25,046","17,724","7,322","9,692","4,416","1,030",655,"3,588",3,"7,449",23.1%,2.38
Del Mar             ,"4,343","4,343",0,"2,599","1,330",517,199,553,0,"2,088",19.7%,2.08
El Cajon            ,"103,901","101,419","2,482","35,957","14,711","1,754","2,837","14,756","1,899","34,601",3.8%,2.93
Encinitas           ,"62,332","61,804",528,"26,253","15,174","4,938","1,816","3,647",678,"24,461",6.8%,2.53
Escondido           ,"150,729","148,520","2,209","48,330","24,547","2,994","3,344","13,686","3,759","46,189",4.4%,3.22
Imperial Beach      ,"26,940","26,422",518,"9,923","3,918",770,"1,187","3,730",318,"9,079",8.5%,2.91
La Mesa             ,"60,323","59,666",657,"26,682","12,580","1,596","2,428","9,896",182,"25,136",5.8%,2.37
Lemon Grove         ,"26,647","26,301",346,"9,043","5,953",795,661,"1,554",80,"8,611",4.8%,3.05
National City       ,"61,116","55,560","5,556","17,004","7,475","1,619","1,580","5,891",439,"15,806",7.0%,3.52
Oceanside           ,"175,458","174,522",936,"65,117","34,449","7,596","5,596","14,214","3,262","60,325",7.4%,2.89
Poway               ,"49,887","49,337",550,"16,864","12,649",686,403,"2,305",821,"16,323",3.2%,3.02
San Diego           ,"1,388,101","1,334,445","53,656","530,303","239,830","46,491","44,670","192,565","6,747","497,746",6.1%,2.68
San Marcos          ,"93,868","92,206","1,662","30,847","16,045","2,219","1,207","8,047","3,329","29,319",5.0%,3.15
Santee              ,"56,595","55,566","1,029","20,523","11,293","1,827","1,237","3,846","2,320","19,829",3.4%,2.80
Solana Beach        ,"13,749","13,749",0,"6,553","3,128","1,272",404,"1,737",12,"5,853",10.7%,2.35
Vista               ,"99,373","97,322","2,051","31,600","15,878","2,423","2,328","9,092","1,879","30,136",4.6%,3.23
,,,,,,,,,,, ,
Balance Of County    ,"512,353","486,904","25,449","177,054","121,419","10,491","8,090","22,167","14,887","164,363",7.2%,2.96
Incorporated,"2,774,926","2,692,905","82,021","1,016,341","492,997","94,693","77,831","319,747","31,073","955,144",6.0%,2.82
 ,,,,,,,,,,, ,
County Total,"3,287,279","3,179,809","107,470","1,193,395","614,416","105,184","85,921","341,914","45,960","1,119,507",6.2%,2.84
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"865,992","840,947","25,045","387,505","65,867","59,542","81,139","180,355",602,"357,570",7.7%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,488","7,473",15,"2,647","2,255",12,128,84,168,"2,506",5.3%,2.98
Lathrop             ,"22,220","22,208",12,"6,091","5,492",108,42,71,378,"5,679",6.8%,3.91
Lodi                ,"65,074","64,397",677,"23,870","15,079","1,444","1,846","5,062",439,"22,315",6.5%,2.89
Manteca             ,"77,226","76,731",495,"25,306","19,632","1,136","1,068","2,673",797,"24,004",5.1%,3.20
Ripon               ,"15,212","15,122",90,"5,260","4,328",317,200,402,13,"4,980",5.3%,3.04
Stockton            ,"310,108","302,188","7,920","100,146","64,998","7,058","8,996","17,986","1,108","92,276",7.9%,3.28
