"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/2000,"794,020","783,886","10,134","296,136","215,687","76,237","4,212","287,954",2.76%,2.722
,4/1/2000,"797,259","787,080","10,179","296,968","216,598","76,161","4,209","288,900",2.72%,2.724
,,,,,,,,,,,
Contra Costa,4/1/1990,"152,841","150,503","2,338","58,997","47,342","8,218","3,438","55,544",5.85%,2.710
Balance of County,1/1/1991,"156,450","153,996","2,454","59,803","48,089","8,245","3,469","56,389",5.71%,2.731
,1/1/1992,"161,441","157,868","3,573","60,691","48,928","8,251","3,512","57,339",5.52%,2.753
,1/1/1993,"163,923","160,392","3,531","61,612","49,004","9,077","3,531","58,322",5.34%,2.750
,1/1/1994,"166,944","163,431","3,513","62,373","49,755","9,067","3,551","59,154",5.16%,2.763
,1/1/1995,"168,546","165,733","2,813","63,294","50,647","9,072","3,575","60,134",4.99%,2.756
,1/1/1996,"169,870","167,075","2,795","63,941","51,280","9,063","3,598","60,857",4.82%,2.745
,1/1/1997,"171,567","169,562","2,005","64,594","51,936","9,034","3,624","61,587",4.66%,2.753
,1/1/1998,"173,934","172,327","1,607","65,159","52,508","9,006","3,645","62,234",4.49%,2.769
,1/1/1999,"175,831","174,621","1,210","65,521","52,857","8,989","3,675","62,690",4.32%,2.785
,1/1/2000,"150,933","149,771","1,162","57,606","45,390","8,854","3,362","55,198",4.18%,2.713
,4/1/2000,"151,557","150,399","1,158","57,609","45,392","8,847","3,370","55,229",4.13%,2.723
,,,,,,,,,,,
Contra Costa,4/1/1990,"803,732","793,585","10,147","316,170","228,792","79,966","7,412","300,288",5.02%,2.643
County Total,1/1/1991,"814,985","804,506","10,479","320,360","231,849","81,070","7,441","304,816",4.85%,2.639
,1/1/1992,"832,229","820,193","12,036","324,608","235,016","82,123","7,469","309,603",4.62%,2.649
,1/1/1993,"848,587","836,354","12,233","329,776","238,411","83,892","7,473","315,226",4.41%,2.653
,1/1/1994,"860,963","848,464","12,499","332,776","241,499","83,805","7,472","318,790",4.20%,2.662
,1/1/1995,"869,176","857,137","12,039","336,384","245,099","83,826","7,459","322,965",3.99%,2.654
,1/1/1996,"878,070","865,892","12,178","339,539","248,364","83,711","7,464","326,662",3.79%,2.651
,1/1/1997,"892,630","881,164","11,466","342,902","251,799","83,632","7,471","330,587",3.59%,2.665
,1/1/1998,"910,831","899,592","11,239","346,605","254,931","84,199","7,475","334,767",3.42%,2.687
,1/1/1999,"928,482","917,357","11,125","349,810","257,905","84,417","7,488","338,502",3.23%,2.710
,1/1/2000,"944,953","933,657","11,296","353,742","261,077","85,091","7,574","343,152",2.99%,2.721
,4/1/2000,"948,816","937,479","11,337","354,577","261,990","85,008","7,579","344,129",2.95%,2.724
,,,,,,,,,,,
Del Norte,4/1/1990,"4,380","4,199",181,"1,779",945,676,158,"1,645",7.53%,2.553
Crescent City,1/1/1991,"4,352","4,165",187,"1,762",942,677,143,"1,627",7.66%,2.560
,1/1/1992,"8,022","4,351","3,671","1,794",950,720,124,"1,651",7.97%,2.635
,1/1/1993,"8,292","4,263","4,029","1,766",940,722,104,"1,621",8.21%,2.630
,1/1/1994,"8,381","4,179","4,202","1,740",929,726,85,"1,592",8.51%,2.625
,1/1/1995,"7,922","4,131","3,791","1,734",920,749,65,"1,583",8.71%,2.610
,1/1/1996,"7,794","4,117","3,677","1,745",914,787,44,"1,588",9.00%,2.593
,1/1/1997,"7,901","4,018","3,883","1,717",903,790,24,"1,558",9.26%,2.579
,1/1/1998,"8,102","4,133","3,969","1,800",934,792,74,"1,630",9.44%,2.536
,1/1/1999,"7,554","3,971","3,583","1,772",924,794,54,"1,600",9.71%,2.482
,1/1/2000,"7,397","3,806","3,591","1,761",914,813,34,"1,585",9.99%,2.401
,4/1/2000,"7,347","3,793","3,554","1,754",912,813,29,"1,578",10.03%,2.404
,,,,,,,,,,,
Del Norte,4/1/1990,"4,380","4,199",181,"1,779",945,676,158,"1,645",7.53%,2.553
Incorporated,1/1/1991,"4,352","4,165",187,"1,762",942,677,143,"1,627",7.66%,2.560
,1/1/1992,"8,022","4,351","3,671","1,794",950,720,124,"1,651",7.97%,2.635
,1/1/1993,"8,292","4,263","4,029","1,766",940,722,104,"1,621",8.21%,2.630
,1/1/1994,"8,381","4,179","4,202","1,740",929,726,85,"1,592",8.51%,2.625
,1/1/1995,"7,922","4,131","3,791","1,734",920,749,65,"1,583",8.71%,2.610
,1/1/1996,"7,794","4,117","3,677","1,745",914,787,44,"1,588",9.00%,2.593
,1/1/1997,"7,901","4,018","3,883","1,717",903,790,24,"1,558",9.26%,2.579
,1/1/1998,"8,102","4,133","3,969","1,800",934,792,74,"1,630",9.44%,2.536
,1/1/1999,"7,554","3,971","3,583","1,772",924,794,54,"1,600",9.71%,2.482
,1/1/2000,"7,397","3,806","3,591","1,761",914,813,34,"1,585",9.99%,2.401
,4/1/2000,"7,347","3,793","3,554","1,754",912,813,29,"1,578",10.03%,2.404
,,,,,,,,,,,
Del Norte,4/1/1990,"19,080","16,830","2,250","7,312","4,376",501,"2,435","6,342",13.27%,2.654
Balance of County,1/1/1991,"21,136","17,371","3,765","7,547","4,500",502,"2,545","6,550",13.21%,2.652
,1/1/1992,"18,893","18,555",338,"7,786","4,658",515,"2,613","6,765",13.11%,2.743
,1/1/1993,"19,135","18,804",331,"7,922","4,764",516,"2,642","6,889",13.04%,2.730
,1/1/1994,"19,326","19,010",316,"8,079","4,854",517,"2,708","7,030",12.98%,2.704
,1/1/1995,"19,921","19,610",311,"8,265","5,009",519,"2,737","7,198",12.91%,2.724
,1/1/1996,"20,029","19,713",316,"8,331","5,108",522,"2,701","7,262",12.83%,2.715
,1/1/1997,"20,313","20,013",300,"8,475","5,184",563,"2,728","7,393",12.77%,2.707
,1/1/1998,"20,207","19,916",291,"8,521","5,264",565,"2,692","7,439",12.70%,2.677
,1/1/1999,"20,188","19,898",290,"8,614","5,324",566,"2,724","7,527",12.62%,2.644
,1/1/2000,"20,112","19,828",284,"8,672","5,380",567,"2,725","7,583",12.56%,2.615
,4/1/2000,"20,160","19,881",279,"8,680","5,388",568,"2,724","7,592",12.53%,2.619
,,,,,,,,,,,
Del Norte,4/1/1990,"23,460","21,029","2,431","9,091","5,321","1,177","2,593","7,987",12.14%,2.633
County Total,1/1/1991,"25,488","21,536","3,952","9,309","5,442","1,179","2,688","8,177",12.16%,2.634
,1/1/1992,"26,915","22,906","4,009","9,580","5,608","1,235","2,737","8,416",12.15%,2.722
,1/1/1993,"27,427","23,067","4,360","9,688","5,704","1,238","2,746","8,510",12.16%,2.711
,1/1/1994,"27,707","23,189","4,518","9,819","5,783","1,243","2,793","8,622",12.19%,2.690
,1/1/1995,"27,843","23,741","4,102","9,999","5,929","1,268","2,802","8,781",12.18%,2.704
,1/1/1996,"27,823","23,830","3,993","10,076","6,022","1,309","2,745","8,850",12.17%,2.693
,1/1/1997,"28,214","24,031","4,183","10,192","6,087","1,353","2,752","8,951",12.18%,2.685
,1/1/1998,"28,309","24,049","4,260","10,321","6,198","1,357","2,766","9,069",12.13%,2.652
,1/1/1999,"27,742","23,869","3,873","10,386","6,248","1,360","2,778","9,127",12.12%,2.615
,1/1/2000,"27,509","23,634","3,875","10,433","6,294","1,380","2,759","9,168",12.12%,2.578
,4/1/2000,"27,507","23,674","3,833","10,434","6,300","1,381","2,753","9,170",12.11%,2.582
,,,,,,,,,,,
El Dorado,4/1/1990,"8,286","7,720",566,"3,530","2,361","1,008",161,"3,361",4.79%,2.297
Placerville,1/1/1991,"8,359","7,761",598,"3,615","2,422","1,030",163,"3,439",4.87%,2.257
,1/1/1992,"8,497","7,936",561,"3,695","2,500","1,033",162,"3,511",4.98%,2.260
,1/1/1993,"8,644","8,120",524,"3,748","2,555","1,030",163,"3,558",5.07%,2.282
,1/1/1994,"8,743","8,256",487,"3,813","2,622","1,028",163,"3,616",5.17%,2.283
,1/1/1995,"8,876","8,426",450,"3,847","2,657","1,027",163,"3,645",5.25%,2.312
,1/1/1996,"8,952","8,539",413,"3,891","2,702","1,027",162,"3,683",5.35%,2.318
,1/1/1997,"9,253","8,871",382,"4,032","2,756","1,114",162,"3,813",5.43%,2.327
,1/1/1998,"9,437","9,092",345,"4,142","2,795","1,187",160,"3,914",5.50%,2.323
,1/1/1999,"9,506","9,198",308,"4,187","2,843","1,185",159,"3,953",5.59%,2.327
,1/1/2000,"9,570","9,299",271,"4,224","2,881","1,184",159,"3,985",5.66%,2.334
,4/1/2000,"9,610","9,348",262,"4,242","2,896","1,187",159,"4,001",5.68%,2.336
,,,,,,,,,,,
El Dorado,4/1/1990,"21,586","21,426",160,"14,066","8,513","4,827",726,"8,625",38.68%,2.484
South Lake Tahoe,1/1/1991,"21,810","21,650",160,"14,058","8,586","4,755",717,"8,681",38.25%,2.494
,1/1/1992,"22,280","22,123",157,"14,050","8,654","4,693",703,"8,760",37.65%,2.525
,1/1/1993,"22,485","22,332",153,"14,049","8,725","4,633",691,"8,841",37.07%,2.526
,1/1/1994,"22,729","22,579",150,"14,085","8,775","4,568",742,"8,945",36.49%,2.524
,1/1/1995,"23,234","23,088",146,"14,105","8,841","4,534",730,"9,039",35.92%,2.554
,1/1/1996,"23,367","23,224",143,"14,115","8,898","4,498",719,"9,128",35.33%,2.544
,1/1/1997,"23,463","23,324",139,"14,103","8,962","4,434",707,"9,203",34.74%,2.534
,1/1/1998,"23,458","23,322",136,"14,069","9,011","4,363",695,"9,264",34.15%,2.517
,1/1/1999,"23,502","23,370",132,"14,036","9,055","4,298",683,"9,326",33.56%,2.506
,1/1/2000,"23,578","23,449",129,"14,013","9,108","4,234",671,"9,394",32.96%,2.496
,4/1/2000,"23,609","23,481",128,"14,005","9,120","4,217",668,"9,410",32.81%,2.495
,,,,,,,,,,,
El Dorado,4/1/1990,"29,872","29,146",726,"17,596","10,874","5,835",887,"11,986",31.88%,2.432
Incorporated,1/1/1991,"30,169","29,411",758,"17,673","11,008","5,785",880,"12,120",31.42%,2.427
,1/1/1992,"30,777","30,059",718,"17,745","11,154","5,726",865,"12,271",30.85%,2.450
,1/1/1993,"31,129","30,452",677,"17,797","11,280","5,663",854,"12,399",30.33%,2.456
,1/1/1994,"31,472","30,835",637,"17,898","11,397","5,596",905,"12,561",29.82%,2.455
,1/1/1995,"32,110","31,514",596,"17,952","11,498","5,561",893,"12,684",29.34%,2.485
,1/1/1996,"32,319","31,763",556,"18,006","11,600","5,525",881,"12,811",28.85%,2.479
,1/1/1997,"32,716","32,195",521,"18,135","11,718","5,548",869,"13,016",28.23%,2.473
,1/1/1998,"32,895","32,414",481,"18,211","11,806","5,550",855,"13,178",27.64%,2.460
,1/1/1999,"33,008","32,568",440,"18,223","11,898","5,483",842,"13,279",27.13%,2.453
,1/1/2000,"33,148","32,748",400,"18,237","11,989","5,418",830,"13,379",26.64%,2.448
,4/1/2000,"33,219","32,829",390,"18,247","12,016","5,404",827,"13,411",26.50%,2.448
,,,,,,,,,,,
El Dorado,4/1/1990,"96,123","95,584",539,"43,855","37,414","2,369","4,072","34,859",20.51%,2.742
Balance of County,1/1/1991,"100,012","99,460",552,"45,193","38,558","2,557","4,078","36,239",19.81%,2.745
,1/1/1992,"104,121","103,548",573,"46,614","39,837","2,732","4,045","37,708",19.11%,2.746
,1/1/1993,"107,659","107,081",578,"47,604","40,903","2,672","4,029","38,836",18.42%,2.757
,1/1/1994,"110,371","109,783",588,"48,181","41,638","2,612","3,931","39,606",17.80%,2.772
,1/1/1995,"111,753","111,152",601,"48,860","42,398","2,579","3,883","40,459",17.19%,2.747
,1/1/1996,"113,630","113,015",615,"49,501","43,160","2,521","3,820","41,293",16.58%,2.737
,1/1/1997,"115,657","115,036",621,"50,229","43,928","2,543","3,758","42,196",15.99%,2.726
,1/1/1998,"117,962","117,322",640,"51,188","44,841","2,652","3,695","43,299",15.41%,2.710
,1/1/1999,"120,224","119,574",650,"52,040","45,663","2,748","3,629","44,313",14.85%,2.698
,1/1/2000,"122,554","121,895",659,"52,878","46,494","2,824","3,560","45,323",14.29%,2.689
,4/1/2000,"123,080","122,418",662,"53,031","46,676","2,809","3,546","45,528",14.15%,2.689
,,,,,,,,,,,
El Dorado,4/1/1990,"125,995","124,730","1,265","61,451","48,288","8,204","4,959","46,845",23.77%,2.663
County Total,1/1/1991,"130,181","128,871","1,310","62,866","49,566","8,342","4,958","48,359",23.08%,2.665
,1/1/1992,"134,898","133,607","1,291","64,359","50,991","8,458","4,910","49,979",22.34%,2.673
,1/1/1993,"138,788","137,533","1,255","65,401","52,183","8,335","4,883","51,235",21.66%,2.684
,1/1/1994,"141,843","140,618","1,225","66,079","53,035","8,208","4,836","52,167",21.05%,2.696
,1/1/1995,"143,863","142,666","1,197","66,812","53,896","8,140","4,776","53,143",20.46%,2.685
,1/1/1996,"145,949","144,778","1,171","67,507","54,760","8,046","4,701","54,104",19.85%,2.676
,1/1/1997,"148,373","147,231","1,142","68,364","55,646","8,091","4,627","55,212",19.24%,2.667
,1/1/1998,"150,857","149,736","1,121","69,399","56,647","8,202","4,550","56,477",18.62%,2.651
,1/1/1999,"153,232","152,142","1,090","70,263","57,561","8,231","4,471","57,592",18.03%,2.642
,1/1/2000,"155,702","154,643","1,059","71,115","58,483","8,242","4,390","58,702",17.45%,2.634
,4/1/2000,"156,299","155,247","1,052","71,278","58,692","8,213","4,373","58,939",17.31%,2.634
,,,,,,,,,,,
Fresno,4/1/1990,"50,323","50,133",190,"18,888","11,327","6,682",879,"18,259",3.33%,2.746
Clovis,1/1/1991,"52,039","51,828",211,"19,611","11,841","6,888",882,"18,953",3.36%,2.735
,1/1/1992,"54,309","54,069",240,"20,328","12,542","6,901",885,"19,640",3.38%,2.753
,1/1/1993,"56,538","56,269",269,"21,112","13,188","7,035",889,"20,391",3.42%,2.760
,1/1/1994,"59,140","58,842",298,"21,917","14,003","7,021",893,"21,163",3.44%,2.780
,1/1/1995,"62,389","62,062",327,"22,771","14,741","7,133",897,"21,983",3.46%,2.823
,1/1/1996,"63,839","63,483",356,"23,412","15,273","7,239",900,"22,596",3.49%,2.809
,1/1/1997,"64,653","64,268",385,"23,829","15,699","7,226",904,"22,993",3.51%,2.795
,1/1/1998,"65,376","64,961",415,"24,167","16,017","7,242",908,"23,314",3.53%,2.786
,1/1/1999,"66,308","65,864",444,"24,561","16,345","7,305",911,"23,689",3.55%,2.780
,1/1/2000,"68,057","67,584",473,"25,123","16,758","7,450",915,"24,226",3.57%,2.790
,4/1/2000,"68,516","68,036",480,"25,265","16,886","7,463",916,"24,362",3.57%,2.793
,,,,,,,,,,,
Fresno,4/1/1990,"8,212","8,102",110,"3,223","2,137",876,210,"2,883",10.55%,2.810
Coalinga,1/1/1991,"8,312","8,160",152,"3,221","2,134",869,218,"2,885",10.43%,2.828
,1/1/1992,"8,963","8,406",557,"3,271","2,182",859,230,"2,936",10.24%,2.863
,1/1/1993,"9,394","8,778",616,"3,317","2,226",851,240,"2,983",10.07%,2.943
,1/1/1994,"9,614","8,993",621,"3,359","2,266",842,251,"3,026",9.91%,2.972
,1/1/1995,"10,011","9,342",669,"3,421","2,327",833,261,"3,089",9.70%,3.024
,1/1/1996,"10,363","9,686",677,"3,538","2,401",865,272,"3,199",9.58%,3.028
,1/1/1997,"10,686","9,980",706,"3,636","2,493",859,284,"3,292",9.46%,3.032
,1/1/1998,"10,861","10,137",724,"3,674","2,530",850,294,"3,333",9.28%,3.041
,1/1/1999,"11,014","10,263",751,"3,697","2,552",840,305,"3,359",9.14%,3.055
,1/1/2000,"15,789","10,396","5,393","3,710","2,564",831,315,"3,376",9.00%,3.079
,4/1/2000,"15,798","10,448","5,350","3,714","2,567",829,318,"3,381",8.97%,3.090
,,,,,,,,,,,
Fresno,4/1/1990,"4,429","4,429",0,"1,243",828,319,96,"1,185",4.67%,3.738
Firebaugh,1/1/1991,"4,698","4,693",5,"1,338",864,379,95,"1,268",5.23%,3.701
,1/1/1992,"4,819","4,808",11,"1,333",865,374,94,"1,255",5.85%,3.831
,1/1/1993,"4,897","4,880",17,"1,340",878,369,93,"1,253",6.49%,3.895
,1/1/1994,"5,038","5,015",23,"1,413",958,363,92,"1,313",7.08%,3.819
,1/1/1995,"5,376","5,347",29,"1,472","1,023",358,91,"1,361",7.54%,3.929
,1/1/1996,"5,525","5,490",35,"1,519","1,077",352,90,"1,396",8.10%,3.933
,1/1/1997,"5,617","5,576",41,"1,550","1,113",348,89,"1,417",8.58%,3.935
,1/1/1998,"5,641","5,594",47,"1,560","1,131",342,87,"1,418",9.10%,3.945
,1/1/1999,"5,592","5,539",53,"1,549","1,126",337,86,"1,398",9.75%,3.962
,1/1/2000,"5,579","5,520",59,"1,539","1,122",331,86,"1,380",10.33%,4.000
,4/1/2000,"5,743","5,682",61,"1,581","1,165",330,86,"1,418",10.31%,4.007
,,,,,,,,,,,
Fresno,4/1/1990,"3,394","3,346",48,"1,156",794,305,57,"1,105",4.41%,3.028
Fowler,1/1/1991,"3,523","3,475",48,"1,194",832,306,56,"1,143",4.27%,3.040
,1/1/1992,"3,661","3,613",48,"1,224",862,307,55,"1,174",4.08%,3.078
,1/1/1993,"3,719","3,671",48,"1,227",867,306,54,"1,179",3.91%,3.114
,1/1/1994,"3,812","3,764",48,"1,239",879,307,53,"1,193",3.71%,3.155
,1/1/1995,"3,816","3,768",48,"1,265",901,312,52,"1,220",3.56%,3.089
,1/1/1996,"3,866","3,817",49,"1,279",911,317,51,"1,234",3.52%,3.093
,1/1/1997,"3,909","3,860",49,"1,290",922,318,50,"1,248",3.26%,3.093
,1/1/1998,"3,941","3,892",49,"1,294",927,318,49,"1,254",3.09%,3.104
,1/1/1999,"3,974","3,925",49,"1,298",931,319,48,"1,260",2.93%,3.115
,1/1/2000,"4,029","3,980",49,"1,303",936,320,47,"1,267",2.76%,3.141
,4/1/2000,"4,046","3,997",49,"1,305",938,320,47,"1,270",2.68%,3.147
,,,,,,,,,,,
Fresno,4/1/1990,"354,091","346,356","7,735","129,358","75,503","50,146","3,710","121,764",5.87%,2.844
Fresno,1/1/1991,"366,209","358,530","7,679","132,901","78,038","51,137","3,726","125,084",5.88%,2.866
,1/1/1992,"379,823","371,748","8,075","136,054","80,211","52,096","3,747","128,033",5.90%,2.904
,1/1/1993,"389,144","380,969","8,175","138,058","82,034","52,255","3,769","129,899",5.91%,2.933
,1/1/1994,"395,649","387,631","8,018","140,063","84,035","52,238","3,790","131,768",5.92%,2.942
,1/1/1995,"401,317","393,212","8,105","141,908","85,837","52,260","3,811","133,483",5.94%,2.946
,1/1/1996,"406,338","398,445","7,893","143,742","87,384","52,526","3,832","135,190",5.95%,2.947
,1/1/1997,"410,813","402,956","7,857","145,342","88,838","52,650","3,854","136,676",5.96%,2.948
,1/1/1998,"414,597","406,607","7,990","146,321","89,908","52,538","3,875","137,578",5.98%,2.955
,1/1/1999,"419,629","411,676","7,953","147,700","91,382","52,422","3,896","138,856",5.99%,2.965
,1/1/2000,"425,778","417,582","8,196","148,691","92,251","52,522","3,918","139,769",6.00%,2.988
,4/1/2000,"427,652","419,465","8,187","149,025","92,620","52,482","3,923","140,079",6.00%,2.994
,,,,,,,,,,,
Fresno,4/1/1990,"4,766","4,080",686,962,507,341,114,933,3.01%,4.373
Huron,1/1/1991,"4,824","4,177",647,"1,034",565,359,110,"1,003",3.00%,4.165
,1/1/1992,"4,998","4,402",596,"1,054",565,383,106,"1,023",2.94%,4.303
,1/1/1993,"5,488","4,943",545,"1,206",608,496,102,"1,172",2.82%,4.218
,1/1/1994,"5,714","5,221",493,"1,224",604,520,100,"1,190",2.78%,4.387
,1/1/1995,"5,695","5,253",442,"1,246",608,543,95,"1,212",2.73%,4.334
,1/1/1996,"5,795","5,405",390,"1,278",620,568,90,"1,243",2.74%,4.348
,1/1/1997,"5,862","5,523",339,"1,302",625,591,86,"1,267",2.69%,4.359
,1/1/1998,"5,975","5,687",288,"1,333",637,616,80,"1,298",2.63%,4.381
,1/1/1999,"6,054","5,818",236,"1,356",642,639,75,"1,320",2.65%,4.408
,1/1/2000,"6,252","6,067",185,"1,402",668,665,69,"1,366",2.57%,4.441
,4/1/2000,"6,310","6,138",172,"1,415",674,673,68,"1,379",2.54%,4.451
,,,,,,,,,,,
Fresno,4/1/1990,"5,448","5,448",0,"1,748","1,108",547,93,"1,688",3.43%,3.227
Kerman,1/1/1991,"5,637","5,635",2,"1,796","1,160",541,95,"1,734",3.45%,3.250
,1/1/1992,"6,126","6,121",5,"1,937","1,207",633,97,"1,872",3.36%,3.270
,1/1/1993,"6,445","6,436",9,"1,975","1,248",628,99,"1,910",3.29%,3.370
,1/1/1994,"6,634","6,622",12,"2,016","1,286",628,102,"1,952",3.17%,3.392
,1/1/1995,"6,886","6,871",15,"2,063","1,340",619,104,"1,998",3.15%,3.439
,1/1/1996,"7,165","7,147",18,"2,134","1,414",614,106,"2,068",3.09%,3.456
,1/1/1997,"7,631","7,610",21,"2,263","1,541",613,109,"2,194",3.05%,3.469
,1/1/1998,"7,931","7,907",24,"2,336","1,620",605,111,"2,266",3.00%,3.489
,1/1/1999,"8,167","8,140",27,"2,386","1,677",596,113,"2,314",3.02%,3.518
,1/1/2000,"8,465","8,435",30,"2,445","1,742",588,115,"2,372",2.99%,3.556
,4/1/2000,"8,548","8,517",31,"2,461","1,759",586,116,"2,388",2.97%,3.567
,,,,,,,,,,,
Fresno,4/1/1990,"7,245","7,111",134,"2,597","1,855",639,103,"2,537",2.31%,2.803
Kingsburg,1/1/1991,"7,380","7,249",131,"2,655","1,905",636,114,"2,590",2.45%,2.799
,1/1/1992,"7,536","7,410",126,"2,713","1,927",643,143,"2,640",2.69%,2.807
,1/1/1993,"7,702","7,580",122,"2,769","1,968",645,156,"2,691",2.82%,2.817
,1/1/1994,"7,999","7,881",118,"2,886","2,078",645,163,"2,799",3.01%,2.816
,1/1/1995,"8,167","8,053",114,"2,963","2,154",646,163,"2,869",3.17%,2.807
,1/1/1996,"8,277","8,168",109,"3,017","2,208",646,163,"2,916",3.35%,2.801
,1/1/1997,"8,457","8,352",105,"3,096","2,274",659,163,"2,988",3.49%,2.795
,1/1/1998,"8,625","8,524",101,"3,166","2,333",669,164,"3,051",3.63%,2.794
,1/1/1999,"8,844","8,748",96,"3,252","2,423",665,164,"3,129",3.78%,2.796
,1/1/2000,"9,003","8,911",92,"3,298","2,472",662,164,"3,170",3.88%,2.811
,4/1/2000,"9,231","9,140",91,"3,377","2,552",661,164,"3,245",3.91%,2.817
,,,,,,,,,,,
Fresno,4/1/1990,"6,821","6,800",21,"1,758","1,113",587,58,"1,683",4.27%,4.040
Mendota,1/1/1991,"7,006","6,986",20,"1,846","1,169",618,59,"1,769",4.17%,3.949
,1/1/1992,"7,227","7,208",19,"1,833","1,172",600,61,"1,760",3.98%,4.095
,1/1/1993,"7,321","7,304",17,"1,819","1,181",576,62,"1,749",3.85%,4.176
,1/1/1994,"7,534","7,518",16,"1,854","1,186",604,64,"1,784",3.78%,4.214
,1/1/1995,"7,473","7,458",15,"1,844","1,193",586,65,"1,777",3.63%,4.197
,1/1/1996,"7,464","7,450",14,"1,833","1,198",568,67,"1,770",3.44%,4.209
,1/1/1997,"7,458","7,446",12,"1,823","1,205",550,68,"1,763",3.29%,4.223
,1/1/1998,"7,589","7,578",11,"1,844","1,231",543,70,"1,786",3.15%,4.243
,1/1/1999,"7,717","7,707",10,"1,864","1,254",539,71,"1,808",3.00%,4.263
,1/1/2000,"7,848","7,840",8,"1,874","1,262",539,73,"1,820",2.88%,4.308
,4/1/2000,"7,890","7,882",8,"1,878","1,263",543,72,"1,825",2.82%,4.319
,,,,,,,,,,,
Fresno,4/1/1990,"5,604","5,574",30,"1,316","1,042",271,3,"1,293",1.75%,4.311
Orange Cove,1/1/1991,"5,614","5,586",28,"1,315","1,047",263,5,"1,289",1.98%,4.334
,1/1/1992,"5,731","5,706",25,"1,322","1,058",257,7,"1,292",2.27%,4.416
,1/1/1993,"5,684","5,662",22,"1,333","1,071",252,10,"1,298",2.63%,4.362
,1/1/1994,"5,971","5,952",19,"1,383","1,108",262,13,"1,343",2.89%,4.432
,1/1/1995,"6,242","6,226",16,"1,439","1,158",266,15,"1,393",3.20%,4.469
,1/1/1996,"6,637","6,624",13,"1,532","1,195",320,17,"1,480",3.39%,4.476
,1/1/1997,"7,627","7,617",10,"1,764","1,246",499,19,"1,705",3.34%,4.467
,1/1/1998,"7,690","7,683",7,"1,778","1,269",488,21,"1,714",3.60%,4.482
,1/1/1999,"7,682","7,678",4,"1,773","1,273",477,23,"1,705",3.84%,4.503
,1/1/2000,"7,721","7,720",1,"1,770","1,279",466,25,"1,698",4.07%,4.547
,4/1/2000,"7,722","7,722",0,"1,767","1,278",463,26,"1,694",4.13%,4.558
,,,,,,,,,,,
Fresno,4/1/1990,"7,938","7,819",119,"1,818","1,315",484,19,"1,758",3.30%,4.448
Parlier,1/1/1991,"7,988","7,870",118,"1,827","1,335",474,18,"1,758",3.78%,4.477
,1/1/1992,"8,251","8,135",116,"1,888","1,410",460,18,"1,806",4.34%,4.504
,1/1/1993,"8,362","8,248",114,"1,916","1,444",455,17,"1,823",4.85%,4.524
,1/1/1994,"8,811","8,698",113,"2,070","1,549",503,18,"1,960",5.31%,4.438
,1/1/1995,"8,963","8,852",111,"2,082","1,576",489,17,"1,961",5.81%,4.514
,1/1/1996,"9,334","9,225",109,"2,185","1,653",516,16,"2,050",6.18%,4.500
,1/1/1997,"10,164","10,056",108,"2,393","1,745",632,16,"2,239",6.44%,4.491
,1/1/1998,"10,578","10,472",106,"2,503","1,868",619,16,"2,334",6.75%,4.487
,1/1/1999,"10,794","10,690",104,"2,565","1,945",605,15,"2,383",7.10%,4.486
,1/1/2000,"11,066","10,964",102,"2,627","2,022",591,14,"2,432",7.42%,4.508
,4/1/2000,"11,145","11,043",102,"2,644","2,042",588,14,"2,446",7.49%,4.515
,,,,,,,,,,,
Fresno,4/1/1990,"15,791","15,456",335,"4,763","3,274","1,309",180,"4,616",3.09%,3.348
Reedley,1/1/1991,"16,232","15,892",340,"4,839","3,332","1,325",182,"4,688",3.12%,3.390
,1/1/1992,"17,183","16,799",384,"5,047","3,522","1,342",183,"4,886",3.19%,3.438
,1/1/1993,"18,061","17,643",418,"5,179","3,597","1,398",184,"5,012",3.22%,3.520
,1/1/1994,"18,393","17,973",420,"5,288","3,705","1,398",185,"5,114",3.29%,3.514
,1/1/1995,"18,757","18,341",416,"5,374","3,800","1,388",186,"5,195",3.33%,3.531
,1/1/1996,"19,069","18,657",412,"5,484","3,919","1,378",187,"5,299",3.37%,3.521
,1/1/1997,"19,392","18,984",408,"5,597","4,035","1,374",188,"5,406",3.41%,3.512
,1/1/1998,"19,934","19,530",404,"5,763","4,147","1,427",189,"5,565",3.44%,3.509
,1/1/1999,"20,291","19,891",400,"5,870","4,247","1,433",190,"5,666",3.48%,3.511
,1/1/2000,"20,693","20,297",396,"5,962","4,340","1,431",191,"5,752",3.52%,3.529
,4/1/2000,"20,756","20,361",395,"5,972","4,352","1,429",191,"5,761",3.53%,3.534
,,,,,,,,,,,
Fresno,4/1/1990,"16,839","16,706",133,"4,930","3,598","1,197",135,"4,834",1.95%,3.456
Sanger,1/1/1991,"17,301","17,167",134,"5,084","3,628","1,319",137,"4,978",2.08%,3.449
,1/1/1992,"17,764","17,645",119,"5,111","3,659","1,312",140,"4,995",2.27%,3.533
,1/1/1993,"17,958","17,825",133,"5,150","3,703","1,304",143,"5,025",2.43%,3.547
,1/1/1994,"18,095","17,961",134,"5,198","3,757","1,295",146,"5,061",2.64%,3.549
