"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2020",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
Los Angeles ,Rolling Hills Estates,"8,086","8,086",0,"3,129","2,352",669,35,37,36,"2,956",5.5%,2.74,,,,
Los Angeles ,Rosemead            ,"54,471","54,058",413,"15,059","11,279","1,452",857,"1,305",166,"14,358",4.7%,3.77,,,,
Los Angeles ,San Dimas           ,"34,226","33,686",540,"12,803","7,366","1,673",312,"2,001","1,451","12,278",4.1%,2.74,,,,
Los Angeles ,San Fernando        ,"24,742","24,628",114,"6,598","4,710",483,515,769,121,"6,199",6.0%,3.97,,,,
Los Angeles ,San Gabriel         ,"40,129","39,677",452,"13,564","7,483","1,689",775,"3,609",8,"12,604",7.1%,3.15,,,,
Los Angeles ,San Marino          ,"13,008","12,927",81,"4,501","4,446",15,0,40,0,"4,261",5.3%,3.03,,,,
Los Angeles ,Santa Clarita       ,"221,106","219,606","1,500","77,008","46,951","9,077","3,125","15,279","2,576","73,682",4.3%,2.98,,,,
Los Angeles ,Santa Fe Springs    ,"18,264","18,071",193,"5,514","3,251",199,300,"1,691",73,"5,324",3.4%,3.39,,,,
Los Angeles ,Santa Monica        ,"92,995","90,849","2,146","52,629","9,740","1,832","5,283","35,570",204,"48,391",8.1%,1.88,,,,
Los Angeles ,Sierra Madre        ,"10,728","10,727",1,"5,126","3,557",328,337,904,0,"4,726",7.8%,2.27,,,,
Los Angeles ,Signal Hill         ,"11,695","11,649",46,"4,631","1,449",620,638,"1,924",0,"4,385",5.3%,2.66,,,,
Los Angeles ,South El Monte      ,"21,252","21,195",57,"5,012","3,539",229,285,509,450,"4,797",4.3%,4.42,,,,
Los Angeles ,South Gate          ,"96,147","96,059",88,"24,540","15,353","1,941","3,224","3,728",294,"23,585",3.9%,4.07,,,,
Los Angeles ,South Pasadena      ,"25,853","25,690",163,"11,183","4,987",662,"1,404","4,130",0,"10,507",6.0%,2.45,,,,
Los Angeles ,Temple City         ,"36,343","35,921",422,"12,369","9,953",941,359,"1,009",107,"11,782",4.7%,3.05,,,,
Los Angeles ,Torrance            ,"145,783","144,637","1,146","58,591","30,738","3,664","3,676","19,378","1,135","55,832",4.7%,2.59,,,,
Los Angeles ,Vernon              ,297,297,0,76,23,0,0,53,0,74,2.6%,4.01,,,,
Los Angeles ,Walnut              ,"30,015","29,981",34,"9,061","8,600",116,39,303,3,"8,733",3.6%,3.43,,,,
Los Angeles ,West Covina         ,"106,209","105,535",674,"32,919","21,262","3,117","1,235","6,960",345,"31,458",4.4%,3.36,,,,
Los Angeles ,West Hollywood      ,"36,344","36,235",109,"25,853","2,237",704,"2,338","20,529",45,"23,660",8.5%,1.53,,,,
Los Angeles ,Westlake Village    ,"8,241","8,113",128,"3,371","2,372",622,113,152,112,"3,233",4.1%,2.51,,,,
Los Angeles ,Whittier            ,"86,487","84,852","1,635","29,721","19,370","1,259","2,325","6,574",193,"28,507",4.1%,2.98,,,,
Los Angeles ,Balance Of County    ,"1,036,375","1,018,459","17,916","311,204","218,735","17,430","17,999","46,535","10,505","294,401",5.4%,3.46,,,,
Los Angeles ,Incorporated,"9,099,239","8,932,673","166,566","3,279,370","1,513,310","216,677","277,701","1,223,890","47,792","3,066,001",6.5%,2.91,,,,
Los Angeles ,County Total,"10,135,614","9,951,132","184,482","3,590,574","1,732,045","234,107","295,700","1,270,425","58,297","3,360,402",6.4%,2.96,,,,
Madera ,Chowchilla          ,"18,306","12,483","5,823","4,447","3,562",79,400,392,14,"4,062",8.7%,3.07,,,,
Madera ,Madera              ,"65,526","64,935",591,"18,037","13,209",324,"2,169","1,886",449,"17,048",5.5%,3.81,,,,
Madera ,Balance Of County    ,"74,770","74,080",690,"28,316","23,975",256,810,336,"2,939","25,097",11.4%,2.95,,,,
Madera ,Incorporated,"83,832","77,418","6,414","22,484","16,771",403,"2,569","2,278",463,"21,110",6.1%,3.67,,,,
Madera ,County Total,"158,602","151,498","7,104","50,800","40,746",659,"3,379","2,614","3,402","46,207",9.0%,3.28,,,,#REF!
Marin ,Belvedere           ,"2,078","2,078",0,"1,049",881,50,81,37,0,919,12.4%,2.26,,,,
Marin ,Corte Madera        ,"10,084","10,084",0,"4,233","2,503",630,373,727,0,"4,067",3.9%,2.48,,,,
Marin ,Fairfax             ,"7,525","7,503",22,"3,605","2,278",351,494,469,13,"3,364",6.7%,2.23,,,,
Marin ,Larkspur            ,"12,260","12,137",123,"6,484","2,653",427,490,"2,625",289,"5,981",7.8%,2.03,,,,
Marin ,Mill Valley         ,"14,623","14,547",76,"6,670","4,391",661,363,"1,241",14,"6,301",5.5%,2.31,,,,
Marin ,Novato              ,"53,541","52,906",635,"21,458","12,583","3,427","1,343","3,557",548,"20,620",3.9%,2.57,,,,
Marin ,Ross                ,"2,556","2,504",52,899,833,17,23,26,0,832,7.5%,3.01,,,,
Marin ,San Anselmo         ,"12,741","12,688",53,"5,567","4,214",269,357,690,37,"5,332",4.2%,2.38,,,,
Marin ,San Rafael          ,"59,385","57,241","2,144","24,133","11,132","2,417","2,114","8,063",407,"23,072",4.4%,2.48,,,,
Marin ,Sausalito           ,"7,388","7,375",13,"4,583","1,773",829,958,938,85,"4,237",7.5%,1.74,,,,
Marin ,Tiburon             ,"9,510","9,472",38,"4,049","2,647",385,379,624,14,"3,896",3.8%,2.43,,,,
Marin ,Balance Of County    ,"68,697","63,467","5,230","29,786","22,869","1,911","1,427","2,993",586,"26,609",10.7%,2.39,,,,
Marin ,Incorporated,"191,691","188,535","3,156","82,730","45,888","9,463","6,975","18,997","1,407","78,621",5.0%,2.40,,,,
Marin ,County Total,"260,388","252,002","8,386","112,516","68,757","11,374","8,402","21,990","1,993","105,230",6.5%,2.39,,,,
Mariposa ,County Total,"18,074","17,357",717,"10,542","7,059",234,531,309,"2,409","8,085",23.3%,2.15,,,,
Mendocino ,Fort Bragg          ,"7,451","7,192",259,"3,267","2,057",148,388,354,320,"2,987",8.6%,2.41,,,,
Mendocino ,Point Arena         ,438,438,0,236,155,11,34,11,25,191,19.1%,2.29,,,,
Mendocino ,Ukiah               ,"15,951","15,222",729,"6,666","3,604",416,853,"1,352",441,"6,232",6.5%,2.44,,,,
Mendocino ,Willits             ,"5,065","4,971",94,"2,109","1,152",93,307,280,277,"2,019",4.3%,2.46,,,,
Mendocino ,Balance Of County    ,"58,803","57,929",874,"28,696","21,652",707,937,909,"4,491","24,104",16.0%,2.40,,,,
Mendocino ,Incorporated,"28,905","27,823","1,082","12,278","6,968",668,"1,582","1,997","1,063","11,429",6.9%,2.43,,,,
Mendocino ,County Total,"87,708","85,752","1,956","40,974","28,620","1,375","2,519","2,906","5,554","35,533",13.3%,2.41,,,,
Merced ,Atwater             ,"31,648","31,546",102,"10,305","6,740",616,"1,627",582,740,"9,708",5.8%,3.25,,,,
Merced ,Dos Palos           ,"5,572","5,544",28,"1,781","1,527",7,81,120,46,"1,654",7.1%,3.35,,,,
Merced ,Gustine             ,"5,840","5,840",0,"2,126","1,756",48,87,84,151,"1,943",8.6%,3.01,,,,
Merced ,Livingston          ,"15,108","15,104",4,"3,690","3,113",11,193,312,61,"3,567",3.3%,4.23,,,,
Merced ,Los Banos           ,"41,855","41,674",181,"12,521","10,556",142,549,878,396,"11,674",6.8%,3.57,,,,
Merced ,Merced              ,"88,261","86,839","1,422","28,882","18,117","1,043","4,114","4,862",746,"27,132",6.1%,3.20,,,,
Merced ,Balance Of County    ,"95,068","89,778","5,290","28,592","22,382",893,"1,007",738,"3,572","25,718",10.1%,3.49,,,,
Merced ,Incorporated,"188,284","186,547","1,737","59,305","41,809","1,867","6,651","6,838","2,140","55,678",6.1%,3.35,,,,
Merced ,County Total,"283,352","276,325","7,027","87,897","64,191","2,760","7,658","7,576","5,712","81,396",7.4%,3.39,,,,
Modoc ,Alturas             ,"2,888","2,855",33,"1,405","1,084",25,84,131,81,"1,209",14.0%,2.36,,,,
Modoc ,Balance Of County    ,"6,675","6,381",294,"3,874","2,867",84,35,30,858,"2,665",31.2%,2.39,,,,
Modoc ,Incorporated,"2,888","2,855",33,"1,405","1,084",25,84,131,81,"1,209",14.0%,2.36,,,,
Modoc ,County Total,"9,563","9,236",327,"5,279","3,951",109,119,161,939,"3,874",26.6%,2.38,,,,
Mono ,Mammoth Lakes       ,"7,853","7,695",158,"9,782","2,466",290,"2,450","4,429",147,"3,178",67.5%,2.42,,,,
Mono ,Balance Of County    ,"5,596","5,412",184,"4,373","2,938",120,280,123,912,"2,404",45.0%,2.25,,,,
Mono ,Incorporated,"7,853","7,695",158,"9,782","2,466",290,"2,450","4,429",147,"3,178",67.5%,2.42,,,,
Mono ,County Total,"13,449","13,107",342,"14,155","5,404",410,"2,730","4,552","1,059","5,582",60.6%,2.35,,,,
Monterey ,Carmel-By-The-Sea   ,"4,040","4,040",0,"3,437","2,811",182,209,235,0,"2,176",36.7%,1.86,,,,
Monterey ,Del Rey Oaks        ,"1,677","1,677",0,741,586,25,19,111,0,688,7.2%,2.44,,,,
Monterey ,Gonzales            ,"8,528","8,522",6,"1,987","1,459",128,21,354,25,"1,885",5.1%,4.52,,,,
Monterey ,Greenfield          ,"18,333","18,304",29,"3,981","3,006",117,302,489,67,"3,686",7.4%,4.97,,,,
Monterey ,King City           ,"14,838","14,629",209,"3,432","2,028",276,325,554,249,"3,257",5.1%,4.49,,,,
Monterey ,Marina              ,"22,372","21,190","1,182","7,784","3,731",678,"1,086","2,037",252,"7,310",6.1%,2.90,,,,
Monterey ,Monterey            ,"28,304","25,771","2,533","13,705","5,901",834,"2,630","4,291",49,"12,013",12.3%,2.15,,,,
Monterey ,Pacific Grove       ,"15,571","15,216",355,"8,201","4,751",500,"1,117","1,682",151,"6,899",15.9%,2.21,,,,
Monterey ,Salinas             ,"160,387","158,178","2,209","43,411","23,826","2,737","4,210","11,287","1,351","40,954",5.7%,3.86,,,,
Monterey ,Sand City           ,373,330,43,189,82,7,38,60,2,136,28.0%,2.43,,,,
Monterey ,Seaside             ,"33,608","31,925","1,683","10,920","6,812","1,272",885,"1,368",583,"9,866",9.7%,3.24,,,,
Monterey ,Soledad             ,"25,399","17,233","8,166","4,137","3,282",81,239,327,208,"3,830",7.4%,4.50,,,,
Monterey ,Balance Of County    ,"106,963","103,301","3,662","39,839","31,426","2,096","1,580","1,947","2,790","33,904",14.9%,3.05,,,,
Monterey ,Incorporated,"333,430","317,015","16,415","101,925","58,275","6,837","11,081","22,795","2,937","92,700",9.1%,3.42,,,,
Monterey ,County Total,"440,393","420,316","20,077","141,764","89,701","8,933","12,661","24,742","5,727","126,604",10.7%,3.32,,,,
Napa ,American Canyon     ,"20,901","20,845",56,"6,214","4,913",47,23,382,849,"5,961",4.1%,3.50,,,,
Napa ,Calistoga           ,"5,352","5,297",55,"2,413","1,165",89,245,313,601,"2,060",14.6%,2.57,,,,
Napa ,Napa                ,"79,016","77,770","1,246","30,698","19,031","2,181","2,957","5,164","1,365","28,445",7.3%,2.73,,,,
Napa ,St Helena           ,"6,094","5,996",98,"2,897","1,850",178,181,533,155,"2,477",14.5%,2.42,,,,
Napa ,Yountville          ,"2,713","1,960",753,"1,299",646,155,101,98,299,"1,039",20.0%,1.89,,,,
Napa ,Balance Of County    ,"24,924","22,316","2,608","11,768","9,893",367,609,367,532,"8,874",24.6%,2.52,,,,
Napa ,Incorporated,"114,076","111,868","2,208","43,521","27,605","2,650","3,507","6,490","3,269","39,982",8.1%,2.80,,,,
Napa ,County Total,"139,000","134,184","4,816","55,289","37,498","3,017","4,116","6,857","3,801","48,856",11.6%,2.75,,,,
Nevada ,Grass Valley        ,"12,806","12,347",459,"6,732","3,015",233,977,"2,068",439,"6,279",6.7%,1.97,,,,
Nevada ,Nevada City         ,"3,101","2,856",245,"1,551","1,217",72,139,111,12,"1,420",8.4%,2.01,,,,
Nevada ,Truckee             ,"16,108","16,065",43,"13,474","11,344",218,940,530,442,"6,552",51.4%,2.45,,,,
Nevada ,Balance Of County    ,"65,760","65,345",415,"32,407","29,358",329,235,202,"2,283","28,422",12.3%,2.30,,,,
Nevada ,Incorporated,"32,015","31,268",747,"21,757","15,576",523,"2,056","2,709",893,"14,251",34.5%,2.19,,,,
Nevada ,County Total,"97,775","96,613","1,162","54,164","44,934",852,"2,291","2,911","3,176","42,673",21.2%,2.26,,,,
Orange ,Aliso Viejo,"50,351","49,882",469,"20,192","7,049","5,233",666,"7,244",0,"19,167",5.1%,2.60,,,,
Orange ,Anaheim             ,"357,059","353,502","3,557","110,745","45,207","9,594","11,407","39,852","4,685","105,195",5.0%,3.36,,,,
Orange ,Brea                ,"45,498","45,359",139,"17,105","9,420","1,474",523,"4,684","1,004","16,500",3.5%,2.75,,,,
Orange ,Buena Park          ,"82,336","81,522",814,"25,134","14,476","2,061","1,740","6,504",353,"24,215",3.7%,3.37,,,,
Orange ,Costa Mesa          ,"113,667","111,272","2,395","43,532","17,134","4,397","5,701","15,370",930,"41,535",4.6%,2.68,,,,
Orange ,Cypress             ,"49,055","48,553",502,"16,631","10,034","2,912",580,"2,684",421,"16,067",3.4%,3.02,,,,
Orange ,Dana Point          ,"33,466","33,225",241,"16,172","8,801","2,074","2,676","2,372",249,"14,227",12.0%,2.34,,,,
Orange ,Fountain Valley     ,"55,419","54,982",437,"19,363","12,713","1,957",696,"3,606",391,"18,681",3.5%,2.94,,,,
Orange ,Fullerton           ,"142,070","137,858","4,212","49,764","24,551","4,964","4,049","15,320",880,"47,374",4.8%,2.91,,,,
Orange ,Garden Grove        ,"173,457","171,516","1,941","48,257","27,517","4,039","4,215","10,858","1,628","46,738",3.1%,3.67,,,,
Orange ,Huntington Beach    ,"198,725","197,834",891,"82,501","39,214","9,464","9,696","21,040","3,087","77,934",5.5%,2.54,,,,
Orange ,Irvine              ,"277,988","261,556","16,432","108,822","43,013","17,187","6,765","40,692","1,165","101,296",6.9%,2.58,,,,
Orange ,Laguna Beach        ,"22,690","22,601",89,"13,027","8,591",697,"1,523","1,927",289,"10,802",17.1%,2.09,,,,
Orange ,Laguna Hills        ,"31,397","31,028",369,"11,298","6,404","1,917",573,"2,052",352,"10,808",4.3%,2.87,,,,
Orange ,Laguna Niguel       ,"64,559","64,135",424,"26,236","14,527","5,107","1,408","5,146",48,"24,770",5.6%,2.59,,,,
Orange ,Laguna Woods,"16,209","16,042",167,"13,079",918,"3,721","2,237","6,203",0,"11,311",13.5%,1.42,,,,
Orange ,La Habra            ,"63,471","63,131",340,"20,838","11,125","1,653","1,559","5,600",901,"19,996",4.0%,3.16,,,,
Orange ,Lake Forest         ,"84,556","84,041",515,"30,244","16,567","4,508","1,525","6,369","1,275","28,737",5.0%,2.92,,,,
Orange ,La Palma            ,"15,607","15,587",20,"5,240","3,771",468,127,861,13,"5,091",2.8%,3.06,,,,
Orange ,Los Alamitos        ,"11,602","11,359",243,"4,414","2,089",370,779,"1,070",106,"4,269",3.3%,2.66,,,,
Orange ,Mission Viejo       ,"95,130","94,188",942,"34,959","24,801","4,257",910,"4,940",51,"33,835",3.2%,2.78,,,,
Orange ,Newport Beach       ,"86,415","86,013",402,"45,060","20,265","7,010","5,085","11,580","1,120","39,306",12.8%,2.19,,,,
Orange ,Orange              ,"139,504","133,235","6,269","46,079","26,090","4,899","4,899","8,969","1,222","44,382",3.7%,3.00,,,,
Orange ,Placentia           ,"51,569","51,232",337,"17,184","10,179","1,926","1,393","3,100",586,"16,696",2.8%,3.07,,,,
Orange ,Rancho Santa Margarita,"48,708","48,706",2,"17,346","9,354","3,615",624,"3,743",10,"16,961",2.2%,2.87,,,,
Orange ,San Clemente        ,"64,538","64,265",273,"26,573","15,208","2,611","4,164","3,991",599,"24,285",8.6%,2.65,,,,
Orange ,San Juan Capistrano ,"36,081","35,994",87,"12,558","6,797","2,431",857,"1,079","1,394","11,882",5.4%,3.03,,,,
Orange ,Santa Ana           ,"331,304","326,041","5,263","78,761","35,768","5,801","7,581","25,562","4,049","75,281",4.4%,4.33,,,,
Orange ,Seal Beach          ,"24,711","24,472",239,"14,535","4,732","1,518","1,118","7,012",155,"13,266",8.7%,1.85,,,,
Orange ,Stanton             ,"39,150","38,800",350,"11,448","3,198","1,812","1,321","3,679","1,438","11,098",3.1%,3.50,,,,
Orange ,Tustin              ,"80,511","79,991",520,"28,257","9,882","3,669","4,056","9,741",909,"26,868",4.9%,2.98,,,,
Orange ,Villa Park          ,"5,821","5,776",45,"2,031","1,995",24,12,0,0,"1,979",2.6%,2.92,,,,
Orange ,Westminster         ,"91,931","91,261",670,"28,002","15,149","2,056","2,523","5,129","3,145","26,814",4.2%,3.40,,,,
Orange ,Yorba Linda         ,"68,426","68,236",190,"23,795","18,306","2,605",868,"1,581",435,"22,985",3.4%,2.97,,,,
Orange ,Balance Of County    ,"127,510","126,742",768,"42,433","31,909","4,674",862,"4,356",632,"40,802",3.8%,3.11,,,,
Orange ,Incorporated,"3,052,981","3,003,195","49,786","1,069,182","524,845","128,031","93,856","289,560","32,890","1,010,351",5.5%,2.97,,,,
Orange ,County Total,"3,180,491","3,129,937","50,554","1,111,615","556,754","132,705","94,718","293,916","33,522","1,051,153",5.4%,2.98,,,,
Placer ,Auburn              ,"14,372","14,094",278,"6,373","4,273",311,784,"1,005",0,"6,117",4.0%,2.30,,,,
Placer ,Colfax              ,"2,154","2,149",5,933,611,48,186,67,21,888,4.8%,2.42,,,,
Placer ,Lincoln             ,"48,584","48,469",115,"19,275","17,396",373,380,"1,055",71,"18,397",4.6%,2.64,,,,
Placer ,Loomis              ,"6,787","6,766",21,"2,557","2,198",142,97,0,120,"2,447",4.3%,2.77,,,,
Placer ,Rocklin             ,"69,702","69,084",618,"26,342","19,280",790,"1,108","4,662",502,"25,085",4.8%,2.75,,,,
Placer ,Roseville           ,"143,493","142,646",847,"55,720","41,150","1,414","2,827","9,939",390,"53,599",3.8%,2.66,,,,
Placer ,Balance Of County    ,"113,923","111,839","2,084","58,326","47,899","1,148","3,125","2,952","3,202","42,822",26.6%,2.61,,,,
Placer ,Incorporated,"285,092","283,208","1,884","111,200","84,908","3,078","5,382","16,728","1,104","106,533",4.2%,2.66,,,,
Placer ,County Total,"399,015","395,047","3,968","169,526","132,807","4,226","8,507","19,680","4,306","149,355",11.9%,2.65,,,,
Plumas ,Portola             ,"1,947","1,923",24,"1,129",806,0,9,139,175,884,21.7%,2.18,,,,
Plumas ,Balance Of County    ,"16,309","16,041",268,"14,797","11,524",393,322,528,"2,030","7,914",46.5%,2.03,,,,
Plumas ,Incorporated,"1,947","1,923",24,"1,129",806,0,9,139,175,884,21.7%,2.18,,,,
Plumas ,County Total,"18,256","17,964",292,"15,926","12,330",393,331,667,"2,205","8,798",44.8%,2.04,,,,
Riverside ,Banning             ,"31,057","29,692","1,365","12,156","9,177",502,677,653,"1,147","11,044",9.1%,2.69,,,,
Riverside ,Beaumont            ,"51,731","51,257",474,"16,909","14,577",242,686,881,523,"16,102",4.8%,3.18,,,,
Riverside ,Blythe              ,"19,530","13,737","5,793","5,469","3,195",136,757,760,621,"4,632",15.3%,2.97,,,,
Riverside ,Calimesa            ,"9,522","9,471",51,"4,269","2,766",130,54,0,"1,319","3,886",9.0%,2.44,,,,
Riverside ,Canyon Lake         ,"11,018","11,009",9,"4,584","4,234",134,73,76,67,"3,978",13.2%,2.77,,,,
Riverside ,Cathedral City      ,"53,494","53,204",290,"21,447","12,052","2,885","2,268","1,744","2,498","17,266",19.5%,3.08,,,,
Riverside ,Coachella           ,"47,583","47,525",58,"10,631","7,509",329,"1,002","1,162",629,"10,197",4.1%,4.66,,,,
Riverside ,Corona              ,"168,332","167,686",646,"49,941","33,178","2,194","2,355","10,540","1,674","48,100",3.7%,3.49,,,,
Riverside ,Desert Hot Springs  ,"30,036","29,918",118,"11,677","7,408",189,"1,673","1,535",872,"9,712",16.8%,3.08,,,,
Riverside ,Eastvale,"66,535","66,471",64,"17,067","15,123",600,266,530,548,"16,398",3.9%,4.05,,,,
Riverside ,Hemet               ,"84,391","83,777",614,"36,067","17,586","1,549","2,226","4,870","9,836","31,305",13.2%,2.68,,,,
Riverside ,Indian Wells        ,"5,371","5,365",6,"5,395","3,622","1,140",266,367,0,"2,883",46.6%,1.86,,,,
Riverside ,Indio               ,"90,804","89,852",952,"32,539","22,216","1,344","2,192","3,591","3,196","27,111",16.7%,3.31,,,,
Riverside ,Jurupa Valley,"107,000","106,215",785,"28,735","22,464","1,026",788,"2,488","1,969","27,327",4.9%,3.89,,,,
Riverside ,Lake Elsinore       ,"63,591","63,159",432,"18,946","14,585",812,"1,025","1,791",733,"17,614",7.0%,3.59,,,,
Riverside ,La Quinta           ,"40,906","40,849",57,"24,957","19,423","2,488","1,140","1,675",231,"15,682",37.2%,2.61,,,,
Riverside ,Menifee,"97,094","96,906",188,"35,675","30,552",991,483,"1,060","2,589","33,348",6.5%,2.91,,,,
Riverside ,Moreno Valley       ,"208,791","208,237",554,"57,523","46,378","1,127","1,511","7,143","1,364","53,998",6.1%,3.86,,,,
Riverside ,Murrieta            ,"114,541","114,112",429,"37,363","27,607","1,344",911,"5,833","1,668","35,150",5.9%,3.25,,,,
Riverside ,Norco               ,"27,611","23,957","3,654","7,329","6,974",98,39,194,24,"7,196",1.8%,3.33,,,,
Riverside ,Palm Desert         ,"53,828","53,520",308,"38,677","15,427","11,004","3,052","5,490","3,704","24,908",35.6%,2.15,,,,
Riverside ,Palm Springs        ,"47,509","46,970",539,"36,012","13,706","8,504","2,931","8,724","2,147","23,524",34.7%,2.00,,,,
Riverside ,Perris              ,"78,575","78,335",240,"19,476","14,899",542,637,"1,725","1,673","18,229",6.4%,4.30,,,,
Riverside ,Rancho Mirage       ,"18,611","18,547",64,"14,788","8,144","4,187",725,835,897,"9,251",37.4%,2.01,,,,
Riverside ,Riverside           ,"328,766","316,680","12,086","101,414","64,645","3,915","6,406","24,221","2,227","96,516",4.8%,3.28,,,,
Riverside ,San Jacinto         ,"50,207","49,979",228,"15,944","10,271","1,594",701,562,"2,816","14,488",9.1%,3.45,,,,
Riverside ,Temecula            ,"112,512","112,383",129,"36,550","28,701","1,300",847,"5,540",162,"34,623",5.3%,3.25,,,,
Riverside ,Wildomar,"36,963","36,921",42,"11,584","8,044",45,27,552,"2,916","11,126",4.0%,3.32,,,,
Riverside ,Balance Of County    ,"384,810","380,671","4,139","143,000","101,081","2,493","3,326","3,481","32,619","119,050",16.7%,3.20,,,,
Riverside ,Incorporated,"2,055,909","2,025,734","30,175","713,124","484,463","50,351","35,718","94,542","48,050","625,594",12.3%,3.24,,,,
Riverside ,County Total,"2,440,719","2,406,405","34,314","856,124","585,544","52,844","39,044","98,023","80,669","744,644",13.0%,3.23,,,,
Sacramento ,Citrus Heights,"87,788","87,302",486,"35,161","19,381","3,091","3,330","7,536","1,823","33,528",4.6%,2.60,,,,
Sacramento ,Elk Grove,"176,036","175,367",669,"55,438","48,234","1,537",962,"4,417",288,"53,681",3.2%,3.27,,,,
Sacramento ,Folsom              ,"81,106","75,146","5,960","28,889","20,566",815,"1,297","5,304",907,"27,962",3.2%,2.69,,,,
Sacramento ,Galt                ,"26,006","25,857",149,"8,177","6,849",504,134,334,356,"7,776",4.9%,3.33,,,,
Sacramento ,Isleton             ,832,832,0,433,248,0,112,10,63,334,22.9%,2.49,,,,
Sacramento ,Rancho Cordova,"78,333","78,008",325,"28,340","17,036","1,688","2,054","6,048","1,514","27,615",2.6%,2.83,,,,
Sacramento ,Sacramento          ,"513,626","504,906","8,720","198,971","118,991","13,098","18,869","44,819","3,194","187,248",5.9%,2.70,,,,
Sacramento ,Balance Of County    ,"589,430","582,520","6,910","223,706","144,516","14,074","18,580","39,761","6,775","209,801",6.2%,2.78,,,,
Sacramento ,Incorporated,"963,727","947,418","16,309","355,409","231,305","20,733","26,758","68,468","8,145","338,144",4.9%,2.80,,,,
Sacramento ,County Total,"1,553,157","1,529,938","23,219","579,115","375,821","34,807","45,338","108,229","14,920","547,945",5.4%,2.79,,,,
San Benito ,Hollister           ,"40,762","40,528",234,"11,917","8,905",327,"1,248","1,075",362,"11,580",2.8%,3.50,,,,
San Benito ,San Juan Bautista   ,"2,140","2,135",5,819,516,78,130,70,25,791,3.4%,2.70,,,,
San Benito ,Balance Of County    ,"19,584","19,389",195,"7,177","6,233",344,41,91,468,"6,693",6.7%,2.90,,,,
San Benito ,Incorporated,"42,902","42,663",239,"12,736","9,421",405,"1,378","1,145",387,"12,371",2.9%,3.45,,,,
San Benito ,County Total,"62,486","62,052",434,"19,913","15,654",749,"1,419","1,236",855,"19,064",4.3%,3.25,,,,
San Bernardino ,Adelanto            ,"35,652","33,834","1,818","9,593","7,691",203,468,773,458,"8,688",9.4%,3.89,,,,
San Bernardino ,Apple Valley        ,"74,331","73,870",461,"27,077","20,811",856,"2,509","1,461","1,440","25,049",7.5%,2.95,,,,
San Bernardino ,Barstow             ,"24,315","23,930",385,"9,645","5,529",202,"1,318","1,742",854,"8,561",11.2%,2.80,,,,
San Bernardino ,Big Bear Lake       ,"5,192","5,166",26,"9,950","8,292",86,521,557,494,"2,235",77.5%,2.31,,,,
San Bernardino ,Chino               ,"89,115","83,682","5,433","25,621","17,975","1,297","1,469","4,281",599,"24,188",5.6%,3.46,,,,
San Bernardino ,Chino Hills         ,"82,846","82,691",155,"25,850","19,942",883,890,"3,508",627,"25,080",3.0%,3.30,,,,
San Bernardino ,Colton              ,"54,051","53,721",330,"16,581","9,781",564,"1,593","3,727",916,"15,315",7.6%,3.51,,,,
San Bernardino ,Fontana             ,"211,519","211,075",444,"55,093","44,014","1,337","2,127","6,067","1,548","52,298",5.1%,4.04,,,,
San Bernardino ,Grand Terrace       ,"12,408","12,295",113,"4,727","2,935",160,471,869,292,"4,479",5.2%,2.75,,,,
San Bernardino ,Hesperia            ,"95,834","95,806",28,"30,152","24,298",706,"1,706","1,914","1,528","27,723",8.1%,3.46,,,,
San Bernardino ,Highland            ,"55,211","55,039",172,"16,845","12,866",370,678,"1,976",955,"15,874",5.8%,3.47,,,,
San Bernardino ,Loma Linda          ,"24,609","23,874",735,"9,853","4,558",717,"1,234","2,687",657,"9,195",6.7%,2.60,,,,
San Bernardino ,Montclair           ,"39,501","39,105",396,"10,548","5,977",481,"1,081","2,113",896,"10,133",3.9%,3.86,,,,
San Bernardino ,Needles             ,"5,382","5,377",5,"2,873","1,939",60,264,218,392,"2,104",26.8%,2.56,,,,
San Bernardino ,Ontario             ,"180,788","179,935",853,"51,283","30,162","3,114","5,103","10,740","2,164","48,896",4.7%,3.68,,,,
San Bernardino ,Rancho Cucamonga    ,"175,052","172,135","2,917","59,440","37,172","3,685","2,763","14,270","1,550","56,974",4.1%,3.02,,,,
San Bernardino ,Redlands            ,"71,164","68,796","2,368","27,129","17,370","1,202","3,140","4,331","1,086","25,326",6.6%,2.72,,,,
San Bernardino ,Rialto              ,"102,813","102,366",447,"27,595","19,691",740,"1,665","3,753","1,746","25,788",6.5%,3.97,,,,
San Bernardino ,San Bernardino      ,"217,935","211,368","6,567","65,654","39,493","1,912","5,021","15,020","4,208","61,034",7.0%,3.46,,,,
San Bernardino ,Twentynine Palms    ,"28,850","24,380","4,470","9,681","5,832",773,"2,181",588,307,"8,611",11.1%,2.83,,,,
San Bernardino ,Upland              ,"78,769","78,087",682,"28,000","16,164","1,762","2,915","6,294",865,"27,241",2.7%,2.87,,,,
San Bernardino ,Victorville         ,"127,518","122,601","4,917","38,297","30,432",288,"1,716","4,103","1,758","35,552",7.2%,3.45,,,,
San Bernardino ,Yucaipa             ,"55,674","55,120",554,"20,339","13,792",554,753,752,"4,488","19,517",4.0%,2.82,,,,
