"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2018",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"36,723","36,614",109,"25,833","2,271",703,"2,336","20,478",45,"23,618",8.6%,1.55
Westlake Village    ,"8,451","8,323",128,"3,386","2,372",626,109,152,127,"3,276",3.2%,2.54
Whittier            ,"87,756","86,121","1,635","29,713","19,368","1,255","2,323","6,574",193,"28,584",3.8%,3.01
,,,,,,,,,,, ,
Balance Of County    ,"1,055,942","1,038,342","17,600","311,650","219,936","17,749","17,892","45,590","10,483","294,548",5.5%,3.53
Incorporated,"9,198,716","9,033,985","164,731","3,235,214","1,506,647","214,595","270,147","1,196,019","47,806","3,035,223",6.2%,2.98
 ,,,,,,,,,,, ,
County Total,"10,254,658","10,072,327","182,331","3,546,864","1,726,583","232,344","288,039","1,241,609","58,289","3,329,771",6.1%,3.02
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"18,994","12,355","6,639","4,386","3,501",79,400,392,14,"3,864",11.9%,3.20
Madera              ,"65,671","65,080",591,"17,799","12,971",324,"2,169","1,886",449,"16,421",7.7%,3.96
,,,,,,,,,,, ,
Balance Of County    ,"73,663","72,990",673,"28,130","23,767",256,810,336,"2,961","23,764",15.5%,3.07
Incorporated,"84,665","77,435","7,230","22,185","16,472",403,"2,569","2,278",463,"20,285",8.6%,3.82
 ,,,,,,,,,,, ,
County Total,"158,328","150,425","7,903","50,315","40,239",659,"3,379","2,614","3,424","44,049",12.5%,3.41
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,148","2,148",0,"1,048",881,49,81,37,0,930,11.3%,2.31
Corte Madera        ,"10,043","10,043",0,"4,207","2,498",609,373,727,0,"3,972",5.6%,2.53
Fairfax             ,"7,714","7,692",22,"3,594","2,281",345,486,469,13,"3,379",6.0%,2.28
Larkspur            ,"12,588","12,465",123,"6,479","2,650",427,488,"2,625",289,"6,019",7.1%,2.07
Mill Valley         ,"14,669","14,593",76,"6,645","4,388",655,347,"1,241",14,"6,193",6.8%,2.36
Novato              ,"54,161","53,526",635,"21,448","12,581","3,427","1,335","3,557",548,"20,442",4.7%,2.62
Ross                ,"2,528","2,476",52,892,831,16,19,26,0,807,9.5%,3.07
San Anselmo         ,"12,908","12,855",53,"5,563","4,211",269,356,690,37,"5,290",4.9%,2.43
San Rafael          ,"60,020","57,837","2,183","24,078","11,123","2,399","2,090","8,059",407,"22,842",5.1%,2.53
Sausalito           ,"7,421","7,408",13,"4,581","1,776",829,953,938,85,"4,169",9.0%,1.78
Tiburon             ,"9,366","9,328",38,"4,036","2,644",384,370,624,14,"3,759",6.9%,2.48
,,,,,,,,,,, ,
Balance Of County    ,"69,237","64,248","4,989","29,723","22,833","1,909","1,409","2,993",579,"26,393",11.2%,2.43
Incorporated,"193,566","190,371","3,195","82,571","45,864","9,409","6,898","18,993","1,407","77,802",5.8%,2.45
 ,,,,,,,,,,, ,
County Total,"262,803","254,619","8,184","112,294","68,697","11,318","8,307","21,986","1,986","104,195",7.2%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,112","17,371",741,"10,449","7,017",209,529,309,"2,385","7,883",24.6%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,519","7,260",259,"3,251","2,042",148,390,354,317,"2,937",9.7%,2.47
Point Arena         ,466,466,0,228,147,11,34,11,25,197,13.6%,2.37
Ukiah               ,"16,368","15,636",732,"6,572","3,600",412,841,"1,279",440,"6,239",5.1%,2.51
Willits             ,"5,025","4,931",94,"2,105","1,148",93,307,280,277,"1,952",7.3%,2.53
,,,,,,,,,,, ,
Balance Of County    ,"59,752","58,876",876,"28,404","21,440",707,943,909,"4,405","23,867",16.0%,2.47
Incorporated,"29,378","28,293","1,085","12,156","6,937",664,"1,572","1,924","1,059","11,325",6.8%,2.50
 ,,,,,,,,,,, ,
County Total,"89,130","87,169","1,961","40,560","28,377","1,371","2,515","2,833","5,464","35,192",13.2%,2.48
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"30,980","30,878",102,"10,130","6,565",616,"1,627",582,740,"9,369",7.5%,3.30
Dos Palos           ,"5,525","5,497",28,"1,775","1,528",0,81,120,46,"1,615",9.0%,3.40
Gustine             ,"5,888","5,888",0,"2,122","1,754",48,85,84,151,"1,930",9.0%,3.05
Livingston          ,"14,376","14,372",4,"3,496","2,927",11,189,312,57,"3,346",4.3%,4.30
Los Banos           ,"40,880","40,699",181,"12,016","10,051",142,549,878,396,"11,239",6.5%,3.62
Merced              ,"85,921","84,748","1,173","27,863","17,167","1,043","4,101","4,806",746,"26,106",6.3%,3.25
,,,,,,,,,,, ,
Balance Of County    ,"95,854","90,568","5,286","28,525","22,358",893,"1,007",738,"3,529","25,578",10.3%,3.54
Incorporated,"183,570","182,082","1,488","57,402","39,992","1,860","6,632","6,782","2,136","53,605",6.6%,3.40
,,,,,,,,,,, ,
County Total,"279,424","272,650","6,774","85,927","62,350","2,753","7,639","7,520","5,665","79,183",7.8%,3.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,725","2,725",0,"1,404","1,083",25,84,131,81,"1,277",9.0%,2.13
,,,,,,,,,,, ,
Balance Of County    ,"6,874","6,558",316,"3,864","2,860",84,35,30,855,"3,032",21.5%,2.16
Incorporated,"2,725","2,725",0,"1,404","1,083",25,84,131,81,"1,277",9.0%,2.13
 ,,,,,,,,,,, ,
County Total,"9,599","9,283",316,"5,268","3,943",109,119,161,936,"4,309",18.2%,2.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,064","7,906",158,"9,708","2,439",290,"2,408","4,424",147,"3,305",66.0%,2.39
,,,,,,,,,,, ,
Balance Of County    ,"5,663","5,481",182,"4,353","2,929",120,278,123,903,"2,464",43.4%,2.22
Incorporated,"8,064","7,906",158,"9,708","2,439",290,"2,408","4,424",147,"3,305",66.0%,2.39
 ,,,,,,,,,,, ,
County Total,"13,727","13,387",340,"14,061","5,368",410,"2,686","4,547","1,050","5,769",59.0%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,967","3,967",0,"3,429","2,808",179,207,235,0,"2,137",37.7%,1.86
Del Rey Oaks        ,"1,727","1,727",0,741,586,25,19,111,0,708,4.5%,2.44
Gonzales            ,"8,640","8,634",6,"1,987","1,459",128,21,354,25,"1,909",3.9%,4.52
Greenfield          ,"17,932","17,903",29,"3,915","3,004",117,302,425,67,"3,609",7.8%,4.96
King City           ,"14,527","14,468",59,"3,352","1,950",276,323,554,249,"3,224",3.8%,4.49
Marina              ,"22,548","20,623","1,925","7,477","3,442",678,"1,068","2,037",252,"7,120",4.8%,2.90
Monterey            ,"28,473","26,236","2,237","13,662","5,904",830,"2,618","4,261",49,"12,181",10.8%,2.15
Pacific Grove       ,"15,807","15,452",355,"8,190","4,745",499,"1,113","1,682",151,"7,015",14.3%,2.20
Salinas             ,"161,899","159,658","2,241","43,167","23,681","2,713","4,201","11,221","1,351","41,373",4.2%,3.86
Sand City           ,393,350,43,186,82,6,36,60,2,146,21.5%,2.40
Seaside             ,"34,382","33,305","1,077","10,915","6,810","1,271",883,"1,368",583,"10,160",6.9%,3.28
Soledad             ,"25,890","17,048","8,842","4,026","3,173",81,237,327,208,"3,794",5.8%,4.49
,,,,,,,,,,, ,
Balance Of County    ,"106,755","103,093","3,662","39,283","31,067","2,096","1,527","1,801","2,792","33,857",13.8%,3.05
Incorporated,"336,185","319,371","16,814","101,047","57,644","6,803","11,028","22,635","2,937","93,376",7.6%,3.42
 ,,,,,,,,,,, ,
County Total,"442,940","422,464","20,476","140,330","88,711","8,899","12,555","24,436","5,729","127,233",9.3%,3.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"20,630","20,574",56,"6,212","4,911",47,23,382,849,"5,884",5.3%,3.50
Calistoga           ,"5,391","5,336",55,"2,374","1,158",89,243,283,601,"2,071",12.8%,2.58
Napa                ,"79,495","78,321","1,174","30,588","18,928","2,180","2,951","5,164","1,365","28,583",6.6%,2.74
St Helena           ,"6,119","6,021",98,"2,874","1,838",177,179,525,155,"2,481",13.7%,2.43
Yountville          ,"2,938","2,098",840,"1,294",643,155,99,98,299,"1,112",14.1%,1.89
,,,,,,,,,,, ,
Balance Of County    ,"26,393","23,794","2,599","11,815","9,940",367,609,367,532,"9,422",20.3%,2.53
Incorporated,"114,573","112,350","2,223","43,342","27,478","2,648","3,495","6,452","3,269","40,131",7.4%,2.80
 ,,,,,,,,,,, ,
County Total,"140,966","136,144","4,822","55,157","37,418","3,015","4,104","6,819","3,801","49,553",10.2%,2.75
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,785","12,326",459,"6,696","2,981",233,975,"2,068",439,"6,139",8.3%,2.01
Nevada City         ,"3,114","2,861",253,"1,545","1,211",72,139,111,12,"1,395",9.7%,2.05
Truckee             ,"16,432","16,389",43,"13,322","11,196",218,936,530,442,"6,550",50.8%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"66,693","66,278",415,"32,182","29,135",329,233,202,"2,283","28,234",12.3%,2.35
Incorporated,"32,331","31,576",755,"21,563","15,388",523,"2,050","2,709",893,"14,084",34.7%,2.24
 ,,,,,,,,,,, ,
County Total,"99,024","97,854","1,170","53,745","44,523",852,"2,283","2,911","3,176","42,318",21.3%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"51,664","51,195",469,"19,992","7,049","5,233",666,"7,044",0,"19,276",3.6%,2.66
Anaheim             ,"358,703","355,146","3,557","108,222","45,107","9,294","11,398","37,738","4,685","102,782",5.0%,3.46
Brea                ,"44,539","44,470",69,"16,359","9,223","1,474",506,"4,152","1,004","15,849",3.1%,2.81
Buena Park          ,"83,594","82,780",814,"25,051","14,473","1,981","1,740","6,504",353,"24,094",3.8%,3.44
Costa Mesa          ,"114,536","112,007","2,529","42,836","16,970","4,361","5,695","14,880",930,"40,965",4.4%,2.73
Cypress             ,"49,774","49,272",502,"16,372","9,892","2,795",580,"2,684",421,"15,973",2.4%,3.09
Dana Point          ,"34,365","34,124",241,"16,081","8,778","2,018","2,665","2,372",248,"14,317",11.0%,2.38
Fountain Valley     ,"56,914","56,477",437,"19,316","12,672","1,957",690,"3,606",391,"18,801",2.7%,3.00
Fullerton           ,"143,313","139,141","4,172","49,429","24,522","4,942","4,042","15,043",880,"46,849",5.2%,2.97
Garden Grove        ,"174,951","173,010","1,941","47,864","27,380","3,973","4,205","10,678","1,628","46,192",3.5%,3.75
Huntington Beach    ,"202,097","201,207",890,"81,656","39,126","9,464","9,665","20,314","3,087","77,663",4.9%,2.59
Irvine              ,"274,055","256,278","17,777","102,474","39,853","16,722","6,386","38,348","1,165","96,134",6.2%,2.67
Laguna Beach        ,"23,474","23,385",89,"13,007","8,579",690,"1,522","1,927",289,"10,952",15.8%,2.14
Laguna Hills        ,"31,751","31,382",369,"11,298","6,404","1,917",573,"2,052",352,"10,710",5.2%,2.93
Laguna Niguel       ,"65,777","65,529",248,"25,888","14,528","5,107","1,406","4,799",48,"24,797",4.2%,2.64
Laguna Woods,"16,612","16,445",167,"13,079",918,"3,721","2,237","6,203",0,"11,364",13.1%,1.45
La Habra            ,"62,558","62,218",340,"20,271","10,708","1,510","1,555","5,600",898,"19,310",4.7%,3.22
Lake Forest         ,"85,048","84,533",515,"29,412","15,887","4,358","1,523","6,369","1,275","28,320",3.7%,2.99
La Palma            ,"15,914","15,894",20,"5,240","3,770",469,127,861,13,"5,087",2.9%,3.12
Los Alamitos        ,"11,790","11,547",243,"4,395","2,092",372,770,"1,055",106,"4,251",3.3%,2.72
Mission Viejo       ,"96,856","95,914",942,"34,912","24,754","4,257",910,"4,940",51,"33,760",3.3%,2.84
Newport Beach       ,"87,614","87,212",402,"44,749","20,220","7,010","5,063","11,336","1,120","39,047",12.7%,2.23
Orange              ,"141,116","134,695","6,421","45,719","26,052","4,881","4,883","8,681","1,222","43,961",3.8%,3.06
Placentia           ,"52,602","52,265",337,"17,168","10,175","1,926","1,391","3,090",586,"16,686",2.8%,3.13
Rancho Santa Margarita,"49,238","49,236",2,"17,344","9,354","3,615",622,"3,743",10,"16,798",3.1%,2.93
San Clemente        ,"65,732","65,459",273,"26,396","15,074","2,601","4,131","3,991",599,"24,236",8.2%,2.70
San Juan Capistrano ,"36,541","36,454",87,"12,380","6,699","2,423",795,"1,079","1,384","11,791",4.8%,3.09
Santa Ana           ,"339,192","334,234","4,958","78,068","35,645","5,762","7,553","25,059","4,049","74,896",4.1%,4.46
Seal Beach          ,"25,191","24,946",245,"14,527","4,726","1,518","1,116","7,012",155,"13,276",8.6%,1.88
Stanton             ,"39,483","39,133",350,"11,379","3,142","1,803","1,317","3,679","1,438","10,968",3.6%,3.57
Tustin              ,"81,755","81,235",520,"28,118","9,856","3,564","4,048","9,741",909,"26,735",4.9%,3.04
Villa Park          ,"5,961","5,916",45,"2,025","1,993",24,8,0,0,"1,985",2.0%,2.98
Westminster         ,"93,035","92,365",670,"27,918","15,083","2,056","2,505","5,129","3,145","26,591",4.8%,3.47
Yorba Linda         ,"68,804","68,614",190,"23,501","18,217","2,458",866,"1,527",433,"22,644",3.6%,3.03
,,,,,,,,,,, ,
Balance Of County    ,"128,726","127,958",768,"41,808","31,725","4,547",856,"4,049",631,"40,201",3.8%,3.18
Incorporated,"3,084,549","3,033,718","50,831","1,052,446","518,921","126,256","93,159","281,236","32,874","997,060",5.3%,3.04
 ,,,,,,,,,,, ,
County Total,"3,213,275","3,161,676","51,599","1,094,254","550,646","130,803","94,015","285,285","33,505","1,037,261",5.2%,3.05
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"14,291","14,013",278,"6,311","4,234",302,776,999,0,"5,981",5.2%,2.34
Colfax              ,"2,071","2,066",5,926,604,48,186,67,21,840,9.3%,2.46
Lincoln             ,"47,808","47,693",115,"18,995","17,120",373,376,"1,055",71,"17,805",6.3%,2.68
Loomis              ,"6,848","6,827",21,"2,541","2,182",142,97,0,120,"2,429",4.4%,2.81
Rocklin             ,"66,711","66,093",618,"25,010","18,281",790,"1,094","4,343",502,"23,606",5.6%,2.80
Roseville           ,"136,260","135,413",847,"53,342","39,213","1,414","2,827","9,498",390,"50,048",6.2%,2.71
,,,,,,,,,,, ,
Balance Of County    ,"115,491","113,376","2,115","57,695","47,390","1,142","3,083","2,910","3,170","42,696",26.0%,2.66
Incorporated,"273,989","272,105","1,884","107,125","81,634","3,069","5,356","15,962","1,104","100,709",6.0%,2.70
 ,,,,,,,,,,, ,
County Total,"389,480","385,481","3,999","164,820","129,024","4,211","8,439","18,872","4,274","143,405",13.0%,2.69
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"1,981","1,957",24,"1,127",806,0,9,139,173,882,21.7%,2.22
,,,,,,,,,,, ,
Balance Of County    ,"17,812","17,546",266,"14,723","11,461",393,322,528,"2,019","8,497",42.3%,2.07
Incorporated,"1,981","1,957",24,"1,127",806,0,9,139,173,882,21.7%,2.22
 ,,,,,,,,,,, ,
County Total,"19,793","19,503",290,"15,850","12,267",393,331,667,"2,192","9,379",40.8%,2.08
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"30,950","29,585","1,365","12,152","9,177",502,677,653,"1,143","10,742",11.6%,2.75
Beaumont            ,"46,545","46,071",474,"15,702","13,407",243,686,843,523,"14,126",10.0%,3.26
Blythe              ,"19,651","13,591","6,060","5,464","3,191",136,757,760,620,"4,475",18.1%,3.04
Calimesa            ,"9,080","9,029",51,"4,013","2,512",130,52,0,"1,319","3,616",9.9%,2.50
Canyon Lake         ,"11,213","11,204",9,"4,563","4,213",134,73,76,67,"3,953",13.4%,2.83
Cathedral City      ,"54,466","54,178",288,"21,219","11,842","2,885","2,268","1,744","2,480","17,162",19.1%,3.16
Coachella           ,"45,777","45,719",58,"10,456","7,402",312,"1,002","1,111",629,"9,574",8.4%,4.78
Corona              ,"167,013","166,367",646,"49,277","32,954","2,142","2,201","10,306","1,674","46,582",5.5%,3.57
Desert Hot Springs  ,"29,102","28,984",118,"11,653","7,387",189,"1,671","1,535",871,"9,185",21.2%,3.16
Eastvale,"65,725","65,661",64,"16,809","14,899",566,266,530,548,"15,811",5.9%,4.15
Hemet               ,"84,423","83,809",614,"36,000","17,517","1,549","2,226","4,870","9,838","30,566",15.1%,2.74
Indian Wells        ,"5,389","5,383",6,"5,327","3,554","1,140",266,367,0,"2,825",47.0%,1.91
Indio               ,"88,194","87,246",948,"31,930","21,615","1,344","2,192","3,591","3,188","25,694",19.5%,3.40
Jurupa Valley,"104,661","103,876",785,"28,090","21,820","1,026",788,"2,488","1,968","26,104",7.1%,3.98
Lake Elsinore       ,"62,241","61,809",432,"18,685","14,326",812,"1,025","1,791",731,"16,825",10.0%,3.67
La Quinta           ,"41,753","41,696",57,"24,643","19,193","2,472","1,140","1,607",231,"15,625",36.6%,2.67
Menifee,"90,775","90,587",188,"33,884","28,828",942,481,"1,060","2,573","30,427",10.2%,2.98
Moreno Valley       ,"206,046","205,492",554,"56,576","45,679","1,127","1,509","6,897","1,364","52,011",8.1%,3.95
Murrieta            ,"116,970","116,541",429,"36,640","27,176","1,235",882,"5,679","1,668","35,039",4.4%,3.33
Norco               ,"26,464","23,805","2,659","7,326","6,971",98,39,194,24,"6,977",4.8%,3.41
Palm Desert         ,"53,298","52,990",308,"38,473","15,322","11,004","2,953","5,490","3,704","24,072",37.4%,2.20
Palm Springs        ,"48,390","47,851",539,"35,737","13,486","8,473","2,907","8,724","2,147","23,392",34.5%,2.05
Perris              ,"76,260","76,020",240,"19,206","14,785",391,633,"1,725","1,672","17,270",10.1%,4.40
Rancho Mirage       ,"18,297","18,233",64,"14,492","7,850","4,187",725,835,895,"8,878",38.7%,2.05
Riverside           ,"326,270","314,219","12,051","100,515","64,348","3,915","6,388","23,637","2,227","93,474",7.0%,3.36
San Jacinto         ,"47,607","47,379",228,"15,380","10,067","1,234",701,562,"2,816","13,405",12.8%,3.53
Temecula            ,"113,248","113,119",129,"36,456","28,609","1,300",847,"5,540",160,"34,018",6.7%,3.33
Wildomar,"35,635","35,593",42,"11,454","7,942",44,27,552,"2,889","10,469",8.6%,3.40
,,,,,,,,,,, ,
Balance Of County    ,"387,093","382,914","4,179","138,782","97,918","2,493","3,300","3,401","31,670","116,876",15.8%,3.28
Incorporated,"2,025,443","1,996,037","29,406","702,122","476,072","49,532","35,382","93,167","47,969","602,297",14.2%,3.31
 ,,,,,,,,,,, ,
County Total,"2,412,536","2,378,951","33,585","840,904","573,990","52,025","38,682","96,568","79,639","719,173",14.5%,3.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"87,841","87,355",486,"35,154","19,374","3,091","3,330","7,536","1,823","32,486",7.6%,2.69
Elk Grove,"172,347","171,678",669,"54,164","47,062","1,537",962,"4,319",284,"50,889",6.0%,3.37
Folsom              ,"78,533","73,192","5,341","27,800","19,875",815,"1,269","4,937",904,"26,374",5.1%,2.78
Galt                ,"26,296","26,147",149,"8,085","6,757",504,134,334,356,"7,615",5.8%,3.43
Isleton             ,859,859,0,428,243,0,112,10,63,335,21.7%,2.56
Rancho Cordova,"73,112","72,787",325,"27,584","16,479","1,688","2,054","5,849","1,514","24,949",9.6%,2.92
Sacramento          ,"500,724","492,141","8,583","194,537","115,865","13,083","18,697","43,698","3,194","176,734",9.2%,2.79
,,,,,,,,,,, ,
Balance Of County    ,"590,530","583,877","6,653","222,553","143,414","14,074","18,562","39,761","6,742","203,632",8.5%,2.87
Incorporated,"939,712","924,159","15,553","347,752","225,655","20,718","26,558","66,683","8,138","319,382",8.2%,2.89
 ,,,,,,,,,,, ,
County Total,"1,530,242","1,508,036","22,206","570,305","369,069","34,792","45,120","106,444","14,880","523,014",8.3%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"39,089","38,849",240,"11,259","8,333",327,"1,242",995,362,"10,586",6.0%,3.67
San Juan Bautista   ,"1,986","1,981",5,766,465,76,130,70,25,698,8.9%,2.84
,,,,,,,,,,, ,
Balance Of County    ,"19,766","19,571",195,"6,910","5,973",344,36,91,466,"6,441",6.8%,3.04
Incorporated,"41,075","40,830",245,"12,025","8,798",403,"1,372","1,065",387,"11,284",6.2%,3.62
 ,,,,,,,,,,, ,
County Total,"60,841","60,401",440,"18,935","14,771",747,"1,408","1,156",853,"17,725",6.4%,3.41
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"35,162","33,233","1,929","9,530","7,628",203,468,773,458,"8,379",12.1%,3.97
Apple Valley        ,"72,891","72,430",461,"26,871","20,606",856,"2,509","1,461","1,439","24,119",10.2%,3.00
Barstow             ,"24,075","23,697",378,"9,653","5,533",202,"1,322","1,742",854,"8,326",13.7%,2.85
Big Bear Lake       ,"5,427","5,401",26,"9,896","8,236",86,521,557,496,"2,292",76.8%,2.36
Chino               ,"87,574","82,121","5,453","24,567","17,110","1,195","1,469","4,194",599,"23,309",5.1%,3.52
Chino Hills         ,"83,379","83,224",155,"25,611","19,818",883,775,"3,508",627,"24,786",3.2%,3.36
Colton              ,"54,061","53,731",330,"16,462","9,662",564,"1,593","3,727",916,"15,041",8.6%,3.57
Fontana             ,"209,455","209,011",444,"54,432","43,465","1,263","2,126","6,030","1,548","50,856",6.6%,4.11
Grand Terrace       ,"12,570","12,457",113,"4,688","2,896",160,471,869,292,"4,456",4.9%,2.80
Hesperia            ,"95,127","95,099",28,"29,601","23,930",706,"1,534","1,914","1,517","27,019",8.7%,3.52
Highland            ,"55,326","55,154",172,"16,739","12,831",299,678,"1,976",955,"15,622",6.7%,3.53
Loma Linda          ,"24,006","23,263",743,"9,695","4,496",717,"1,229","2,596",657,"8,798",9.3%,2.64
Montclair           ,"39,220","38,824",396,"10,484","5,919",481,"1,081","2,107",896,"9,878",5.8%,3.93
Needles             ,"5,067","5,062",5,"2,896","1,939",60,262,243,392,"1,944",32.9%,2.60
Ontario             ,"174,244","173,394",850,"49,648","29,285","3,114","5,078","9,994","2,177","46,271",6.8%,3.75
Rancho Cucamonga    ,"178,619","175,810","2,809","59,318","37,077","3,685","2,757","14,259","1,540","57,142",3.7%,3.08
Redlands            ,"71,441","69,073","2,368","26,973","17,218","1,202","3,136","4,331","1,086","24,972",7.4%,2.77
Rialto              ,"106,582","106,135",447,"27,460","19,612",739,"1,660","3,703","1,746","26,257",4.4%,4.04
San Bernardino      ,"218,992","212,264","6,728","65,677","39,435","1,917","5,107","15,011","4,207","60,190",8.4%,3.53
Twentynine Palms    ,"27,247","23,421","3,826","9,681","5,830",775,"2,181",588,307,"8,538",11.8%,2.74
Upland              ,"78,027","77,345",682,"27,850","16,027","1,762","2,902","6,294",865,"26,495",4.9%,2.92
Victorville         ,"125,782","121,412","4,370","37,809","29,952",288,"1,716","4,103","1,750","34,573",8.6%,3.51
Yucaipa             ,"54,293","53,739",554,"20,176","13,777",550,751,638,"4,460","18,686",7.4%,2.88
Yucca Valley        ,"21,905","21,686",219,"9,736","7,509",299,702,470,756,"8,491",12.8%,2.55
,,,,,,,,,,, ,
Balance Of County    ,"311,045","307,135","3,910","134,458","111,865","2,926","4,079","2,247","13,341","97,439",27.5%,3.15
Incorporated,"1,860,472","1,826,986","33,486","585,453","399,791","22,006","42,028","91,088","30,540","536,440",8.4%,3.41
 ,,,,,,,,,,, ,
County Total,"2,171,517","2,134,121","37,396","719,911","511,656","24,932","46,107","93,335","43,881","633,879",12.0%,3.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"115,095","114,180",915,"46,878","24,885","7,895","2,574","10,244","1,280","43,410",7.4%,2.63
Chula Vista         ,"268,060","266,389","1,671","84,210","45,211","8,418","4,824","21,692","4,065","79,751",5.3%,3.34
Coronado            ,"21,708","18,058","3,650","9,732","4,452","1,036",659,"3,582",3,"7,518",22.7%,2.40
Del Mar             ,"4,442","4,442",0,"2,612","1,341",517,201,553,0,"2,115",19.0%,2.10
El Cajon            ,"105,258","102,776","2,482","36,090","14,830","1,754","2,837","14,756","1,913","34,726",3.8%,2.96
Encinitas           ,"63,375","62,847",528,"26,409","15,309","4,963","1,812","3,647",678,"24,634",6.7%,2.55
Escondido           ,"152,478","150,268","2,210","48,622","24,681","2,994","3,338","13,850","3,759","46,282",4.8%,3.25
Imperial Beach      ,"27,202","26,758",444,"9,952","3,923",770,"1,201","3,740",318,"9,106",8.5%,2.94
La Mesa             ,"60,707","60,050",657,"26,840","12,591","1,597","2,425","10,045",182,"25,054",6.7%,2.40
Lemon Grove         ,"27,068","26,722",346,"9,089","5,999",795,661,"1,554",80,"8,665",4.7%,3.08
National City       ,"62,268","56,240","6,028","17,200","7,482","1,619","1,580","6,080",439,"15,845",7.9%,3.55
Oceanside           ,"177,274","176,338",936,"65,426","34,497","7,603","5,678","14,374","3,274","60,364",7.7%,2.92
Poway               ,"50,210","49,660",550,"16,896","12,681",686,403,"2,305",821,"16,271",3.7%,3.05
San Diego           ,"1,414,373","1,357,773","56,600","541,140","241,088","46,839","44,984","201,478","6,751","501,555",7.3%,2.71
San Marcos          ,"96,335","94,594","1,741","31,366","16,167","2,219","1,238","8,413","3,329","29,788",5.0%,3.18
Santee              ,"57,410","56,277","1,133","20,689","11,397","1,863","1,247","3,846","2,336","19,888",3.9%,2.83
Solana Beach        ,"13,895","13,895",0,"6,559","3,133","1,272",405,"1,737",12,"5,858",10.7%,2.37
Vista               ,"101,770","99,647","2,123","32,543","16,052","2,423","2,326","9,855","1,887","30,558",6.1%,3.26
,,,,,,,,,,, ,
Balance Of County    ,"514,200","485,441","28,759","177,885","121,955","10,493","8,289","22,190","14,958","163,992",7.8%,2.96
Incorporated,"2,818,928","2,736,914","82,014","1,032,253","495,719","95,263","78,393","331,751","31,127","961,388",6.9%,2.85
 ,,,,,,,,,,, ,
County Total,"3,333,128","3,222,355","110,773","1,210,138","617,674","105,756","86,682","353,941","46,085","1,125,380",7.0%,2.86
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"880,980","855,175","25,805","397,083","65,848","59,605","81,513","189,515",602,"363,104",8.6%,2.36
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,725","7,710",15,"2,646","2,255",11,128,84,168,"2,508",5.2%,3.07
Lathrop             ,"23,711","23,699",12,"6,580","5,981",108,42,71,378,"5,879",10.7%,4.03
Lodi                ,"67,042","66,365",677,"24,210","15,329","1,454","1,846","5,142",439,"22,311",7.8%,2.98
Manteca             ,"81,022","80,527",495,"26,400","20,707","1,136","1,087","2,673",797,"24,440",7.4%,3.30
Ripon               ,"16,290","16,200",90,"5,395","4,407",318,200,457,13,"5,175",4.1%,3.13
Stockton            ,"313,822","305,652","8,170","100,593","64,997","7,373","9,002","18,113","1,108","90,551",10.0%,3.38
