"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2007,"27,872","27,519",353,"10,609","7,711","1,468","1,430","9,678",931,8.78%,2.843
,1/1/2008,"28,066","27,736",330,"10,716","7,828","1,470","1,418","9,767",949,8.86%,2.840
,1/1/2009,"28,088","27,760",328,"10,758","7,887","1,467","1,404","9,796",962,8.94%,2.834
,1/1/2010,"28,120","27,799",321,"10,781","7,925","1,464","1,392","9,805",976,9.05%,2.835
,4/1/2010,"28,122","27,806",316,"10,778","7,931","1,463","1,384","9,800",978,9.07%,2.837
,,,,,,,,,,,,
Humboldt,4/1/2000,"16,651","15,220","1,431","7,272","3,577","3,012",683,"7,051",221,3.04%,2.159
Arcata,1/1/2001,"16,798","15,196","1,602","7,296","3,596","3,002",698,"7,066",230,3.15%,2.151
,1/1/2002,"16,826","15,216","1,610","7,320","3,613","2,988",719,"7,079",241,3.29%,2.149
,1/1/2003,"16,883","15,212","1,671","7,335","3,621","2,975",739,"7,081",254,3.46%,2.148
,1/1/2004,"16,950","15,254","1,696","7,366","3,641","2,965",760,"7,101",265,3.60%,2.148
,1/1/2005,"17,000","15,333","1,667","7,442","3,692","2,970",780,"7,165",277,3.72%,2.140
,1/1/2006,"16,961","15,304","1,657","7,491","3,734","2,955",802,"7,202",289,3.86%,2.125
,1/1/2007,"17,044","15,343","1,701","7,560","3,751","2,987",822,"7,257",303,4.01%,2.114
,1/1/2008,"17,079","15,384","1,695","7,629","3,768","3,018",843,"7,314",315,4.13%,2.103
,1/1/2009,"17,148","15,413","1,735","7,677","3,794","3,020",863,"7,350",327,4.26%,2.097
,1/1/2010,"17,211","15,464","1,747","7,717","3,803","3,030",884,"7,378",339,4.39%,2.096
,4/1/2010,"17,231","15,486","1,745","7,722","3,806","3,027",889,"7,381",341,4.42%,2.098
,,,,,,,,,,,,
Humboldt,4/1/2000,"1,137","1,137",0,557,382,104,71,505,52,9.34%,2.251
Blue Lake,1/1/2001,"1,148","1,148",0,560,383,107,70,510,50,8.93%,2.251
,1/1/2002,"1,180","1,180",0,571,393,109,69,522,49,8.58%,2.261
,1/1/2003,"1,192","1,192",0,571,391,113,67,524,47,8.23%,2.275
,1/1/2004,"1,203","1,203",0,571,388,117,66,526,45,7.88%,2.287
,1/1/2005,"1,212","1,212",0,571,386,120,65,529,42,7.36%,2.291
,1/1/2006,"1,212","1,212",0,570,383,123,64,530,40,7.02%,2.287
,1/1/2007,"1,216","1,216",0,569,381,126,62,531,38,6.68%,2.290
,1/1/2008,"1,221","1,221",0,568,377,130,61,533,35,6.16%,2.291
,1/1/2009,"1,236","1,236",0,572,375,137,60,539,33,5.77%,2.293
,1/1/2010,"1,247","1,247",0,571,373,140,58,541,30,5.25%,2.305
,4/1/2010,"1,253","1,253",0,572,373,141,58,542,30,5.24%,2.312
,,,,,,,,,,,,
Humboldt,4/1/2000,"26,128","24,773","1,355","11,637","7,585","3,878",174,"10,957",680,5.84%,2.261
Eureka,1/1/2001,"26,169","24,779","1,390","11,658","7,621","3,866",171,"10,973",685,5.88%,2.258
,1/1/2002,"26,316","24,873","1,443","11,675","7,669","3,839",167,"10,985",690,5.91%,2.264
,1/1/2003,"26,551","25,036","1,515","11,729","7,730","3,837",162,"11,030",699,5.96%,2.270
,1/1/2004,"26,727","25,172","1,555","11,761","7,779","3,824",158,"11,056",705,5.99%,2.277
,1/1/2005,"26,793","25,185","1,608","11,779","7,817","3,808",154,"11,068",711,6.04%,2.275
,1/1/2006,"26,763","25,108","1,655","11,792","7,848","3,794",150,"11,076",716,6.07%,2.267
,1/1/2007,"26,762","25,077","1,685","11,806","7,884","3,776",146,"11,085",721,6.11%,2.262
,1/1/2008,"26,845","25,081","1,764","11,834","7,936","3,757",141,"11,107",727,6.14%,2.258
,1/1/2009,"26,927","25,107","1,820","11,850","7,978","3,735",137,"11,118",732,6.18%,2.258
,1/1/2010,"27,125","25,255","1,870","11,889","8,016","3,739",134,"11,149",740,6.22%,2.265
,4/1/2010,"27,191","25,308","1,883","11,891","8,025","3,733",133,"11,150",741,6.23%,2.270
,,,,,,,,,,,,
Humboldt,4/1/2000,"1,382","1,382",0,663,564,90,9,611,52,7.84%,2.262
Ferndale,1/1/2001,"1,392","1,392",0,673,571,94,8,616,57,8.47%,2.260
,1/1/2002,"1,395","1,395",0,679,577,95,7,617,62,9.13%,2.261
,1/1/2003,"1,400","1,400",0,686,583,97,6,618,68,9.91%,2.265
,1/1/2004,"1,431","1,409",22,694,591,98,5,620,74,10.66%,2.273
,1/1/2005,"1,427","1,405",22,699,595,100,4,620,79,11.30%,2.266
,1/1/2006,"1,400","1,400",0,705,601,101,3,621,84,11.91%,2.254
,1/1/2007,"1,394","1,394",0,710,606,102,2,621,89,12.54%,2.245
,1/1/2008,"1,381","1,381",0,711,606,104,1,616,95,13.36%,2.242
,1/1/2009,"1,376","1,376",0,715,609,105,1,615,100,13.99%,2.237
,1/1/2010,"1,372","1,372",0,717,608,109,0,612,105,14.64%,2.242
,4/1/2010,"1,371","1,371",0,717,608,109,0,611,106,14.78%,2.244
,,,,,,,,,,,,
Humboldt,4/1/2000,"10,498","10,263",235,"4,414","3,141",831,442,"4,185",229,5.19%,2.452
Fortuna,1/1/2001,"10,580","10,345",235,"4,453","3,171",847,435,"4,219",234,5.25%,2.452
,1/1/2002,"10,857","10,623",234,"4,559","3,226",906,427,"4,314",245,5.37%,2.462
,1/1/2003,"11,104","10,870",234,"4,653","3,308",927,418,"4,400",253,5.44%,2.470
,1/1/2004,"11,306","11,073",233,"4,725","3,362",952,411,"4,463",262,5.54%,2.481
,1/1/2005,"11,479","11,215",264,"4,788","3,414",971,403,"4,519",269,5.62%,2.482
,1/1/2006,"11,602","11,339",263,"4,859","3,444","1,021",394,"4,581",278,5.72%,2.475
,1/1/2007,"11,678","11,415",263,"4,901","3,456","1,059",386,"4,617",284,5.79%,2.472
,1/1/2008,"11,738","11,476",262,"4,936","3,471","1,087",378,"4,645",291,5.90%,2.471
,1/1/2009,"11,815","11,553",262,"4,968","3,481","1,116",371,"4,672",296,5.96%,2.473
,1/1/2010,"11,897","11,636",261,"4,988","3,490","1,136",362,"4,686",302,6.05%,2.483
,4/1/2010,"11,926","11,665",261,"4,991","3,490","1,141",360,"4,688",303,6.07%,2.488
,,,,,,,,,,,,
Humboldt,4/1/2000,"3,174","3,164",10,"1,434","1,021",186,227,"1,221",213,14.85%,2.591
Rio Dell,1/1/2001,"3,170","3,159",11,"1,428","1,021",187,220,"1,227",201,14.08%,2.575
,1/1/2002,"3,190","3,178",12,"1,426","1,025",188,213,"1,238",188,13.18%,2.567
,1/1/2003,"3,218","3,205",13,"1,427","1,034",188,205,"1,253",174,12.19%,2.558
,1/1/2004,"3,241","3,227",14,"1,425","1,040",189,196,"1,266",159,11.16%,2.549
,1/1/2005,"3,265","3,250",15,"1,429","1,050",189,190,"1,283",146,10.22%,2.533
,1/1/2006,"3,285","3,269",16,"1,437","1,062",191,184,"1,304",133,9.26%,2.507
,1/1/2007,"3,315","3,298",17,"1,446","1,077",191,178,"1,325",121,8.37%,2.489
,1/1/2008,"3,322","3,303",19,"1,444","1,081",193,170,"1,337",107,7.41%,2.470
,1/1/2009,"3,337","3,317",20,"1,444","1,089",194,161,"1,351",93,6.44%,2.455
,1/1/2010,"3,362","3,341",21,"1,443","1,098",194,151,"1,364",79,5.47%,2.449
,4/1/2010,"3,368","3,347",21,"1,442","1,098",195,149,"1,367",75,5.20%,2.448
,,,,,,,,,,,,
Humboldt,4/1/2000,312,312,0,228,186,11,31,168,60,26.32%,1.857
Trinidad,1/1/2001,317,317,0,230,185,14,31,170,60,26.09%,1.865
,1/1/2002,323,323,0,233,187,16,30,173,60,25.75%,1.867
,1/1/2003,328,328,0,235,187,19,29,174,61,25.96%,1.885
,1/1/2004,338,338,0,240,189,22,29,178,62,25.83%,1.899
,1/1/2005,342,342,0,242,190,24,28,179,63,26.03%,1.911
,1/1/2006,345,344,1,244,189,27,28,181,63,25.82%,1.901
,1/1/2007,349,348,1,246,189,30,27,182,64,26.02%,1.912
,1/1/2008,353,352,1,248,190,32,26,184,64,25.81%,1.913
,1/1/2009,358,357,1,250,189,35,26,185,65,26.00%,1.930
,1/1/2010,363,362,1,252,189,38,25,187,65,25.79%,1.936
,4/1/2010,367,366,1,252,188,39,25,187,65,25.79%,1.957
,,,,,,,,,,,,
Humboldt,4/1/2000,"59,282","56,251","3,031","26,205","16,456","8,112","1,637","24,698","1,507",5.75%,2.278
Incorporated,1/1/2001,"59,574","56,336","3,238","26,298","16,548","8,117","1,633","24,781","1,517",5.77%,2.273
,1/1/2002,"60,087","56,788","3,299","26,463","16,690","8,141","1,632","24,928","1,535",5.80%,2.278
,1/1/2003,"60,676","57,243","3,433","26,636","16,854","8,156","1,626","25,080","1,556",5.84%,2.282
,1/1/2004,"61,196","57,676","3,520","26,782","16,990","8,167","1,625","25,210","1,572",5.87%,2.288
,1/1/2005,"61,518","57,942","3,576","26,950","17,144","8,182","1,624","25,363","1,587",5.89%,2.285
,1/1/2006,"61,568","57,976","3,592","27,098","17,261","8,212","1,625","25,495","1,603",5.92%,2.274
,1/1/2007,"61,758","58,091","3,667","27,238","17,344","8,271","1,623","25,618","1,620",5.95%,2.268
,1/1/2008,"61,939","58,198","3,741","27,370","17,429","8,321","1,620","25,736","1,634",5.97%,2.261
,1/1/2009,"62,197","58,359","3,838","27,476","17,515","8,342","1,619","25,830","1,646",5.99%,2.259
,1/1/2010,"62,577","58,677","3,900","27,577","17,577","8,386","1,614","25,917","1,660",6.02%,2.264
,4/1/2010,"62,707","58,796","3,911","27,587","17,588","8,385","1,614","25,926","1,661",6.02%,2.268
,,,,,,,,,,,,
Humboldt,4/1/2000,"67,236","66,194","1,042","29,707","23,368","2,048","4,291","26,540","3,167",10.66%,2.494
Balance of County,1/1/2001,"67,437","66,408","1,029","30,008","23,575","2,124","4,309","26,790","3,218",10.72%,2.479
,1/1/2002,"67,965","66,923","1,042","30,382","23,833","2,210","4,339","27,099","3,283",10.81%,2.470
,1/1/2003,"68,792","67,717","1,075","30,894","24,158","2,370","4,366","27,532","3,362",10.88%,2.460
,1/1/2004,"69,516","68,428","1,088","31,342","24,471","2,474","4,397","27,908","3,434",10.96%,2.452
,1/1/2005,"69,949","68,866","1,083","31,788","24,826","2,540","4,422","28,284","3,504",11.02%,2.435
,1/1/2006,"70,390","69,291","1,099","32,330","25,238","2,630","4,462","28,743","3,587",11.09%,2.411
,1/1/2007,"70,685","69,583","1,102","32,757","25,577","2,718","4,462","29,100","3,657",11.16%,2.391
,1/1/2008,"70,992","69,878","1,114","33,184","25,885","2,820","4,479","29,457","3,727",11.23%,2.372
,1/1/2009,"71,287","70,175","1,112","33,550","26,125","2,930","4,495","29,759","3,791",11.30%,2.358
,1/1/2010,"71,776","70,671","1,105","33,910","26,318","3,090","4,502","30,056","3,854",11.37%,2.351
,4/1/2010,"71,916","70,813","1,103","33,972","26,358","3,110","4,504","30,105","3,867",11.38%,2.352
,,,,,,,,,,,,
Humboldt,4/1/2000,"126,518","122,445","4,073","55,912","39,824","10,160","5,928","51,238","4,674",8.36%,2.390
County Total,1/1/2001,"127,011","122,744","4,267","56,306","40,123","10,241","5,942","51,571","4,735",8.41%,2.380
,1/1/2002,"128,052","123,711","4,341","56,845","40,523","10,351","5,971","52,027","4,818",8.48%,2.378
,1/1/2003,"129,468","124,960","4,508","57,530","41,012","10,526","5,992","52,612","4,918",8.55%,2.375
,1/1/2004,"130,712","126,104","4,608","58,124","41,461","10,641","6,022","53,118","5,006",8.61%,2.374
,1/1/2005,"131,467","126,808","4,659","58,738","41,970","10,722","6,046","53,647","5,091",8.67%,2.364
,1/1/2006,"131,958","127,267","4,691","59,428","42,499","10,842","6,087","54,238","5,190",8.73%,2.346
,1/1/2007,"132,443","127,674","4,769","59,995","42,921","10,989","6,085","54,718","5,277",8.80%,2.333
,1/1/2008,"132,931","128,076","4,855","60,554","43,314","11,141","6,099","55,193","5,361",8.85%,2.321
,1/1/2009,"133,484","128,534","4,950","61,026","43,640","11,272","6,114","55,589","5,437",8.91%,2.312
,1/1/2010,"134,353","129,348","5,005","61,487","43,895","11,476","6,116","55,973","5,514",8.97%,2.311
,4/1/2010,"134,623","129,609","5,014","61,559","43,946","11,495","6,118","56,031","5,528",8.98%,2.313
,,,,,,,,,,,,
Imperial,4/1/2000,"22,052","21,740",312,"7,038","4,840","1,742",456,"6,631",407,5.78%,3.279
Brawley,1/1/2001,"22,095","21,793",302,"7,027","4,837","1,737",453,"6,611",416,5.92%,3.296
,1/1/2002,"21,928","21,640",288,"6,994","4,817","1,728",449,"6,566",428,6.12%,3.296
,1/1/2003,"21,881","21,607",274,"6,994","4,830","1,719",445,"6,553",441,6.31%,3.297
,1/1/2004,"22,217","21,957",260,"7,133","4,891","1,801",441,"6,671",462,6.48%,3.291
,1/1/2005,"22,381","22,135",246,"7,257","5,009","1,811",437,"6,775",482,6.64%,3.267
,1/1/2006,"23,601","23,368",233,"7,926","5,441","2,054",431,"7,391",535,6.75%,3.162
,1/1/2007,"23,443","23,224",219,"8,052","5,557","2,068",427,"7,497",555,6.89%,3.098
,1/1/2008,"24,157","23,952",205,"8,158","5,602","2,133",423,"7,584",574,7.04%,3.158
,1/1/2009,"24,476","24,285",191,"8,181","5,612","2,150",419,"7,592",589,7.20%,3.199
,1/1/2010,"24,937","24,760",177,"8,234","5,599","2,220",415,"7,629",605,7.35%,3.246
,4/1/2010,"24,953","24,779",174,"8,231","5,588","2,228",415,"7,623",608,7.39%,3.251
,,,,,,,,,,,,
Imperial,4/1/2000,"27,109","27,006",103,"6,983","4,904","1,874",205,"6,814",169,2.42%,3.963
Calexico,1/1/2001,"27,866","27,763",103,"7,189","5,092","1,895",202,"6,995",194,2.70%,3.969
,1/1/2002,"29,425","29,323",102,"7,657","5,451","2,007",199,"7,424",233,3.04%,3.950
,1/1/2003,"31,497","31,395",102,"8,250","5,903","2,152",195,"7,975",275,3.33%,3.937
,1/1/2004,"33,499","33,397",102,"8,843","6,394","2,257",192,"8,526",317,3.58%,3.917
,1/1/2005,"35,056","34,954",102,"9,371","6,855","2,328",188,"9,013",358,3.82%,3.878
,1/1/2006,"35,485","35,384",101,"9,845","7,201","2,459",185,"9,448",397,4.03%,3.745
,1/1/2007,"36,013","35,912",101,"10,236","7,466","2,589",181,"9,802",434,4.24%,3.664
,1/1/2008,"37,306","37,205",101,"10,465","7,641","2,646",178,"9,998",467,4.46%,3.721
,1/1/2009,"37,999","37,899",100,"10,592","7,747","2,671",174,"10,094",498,4.70%,3.755
,1/1/2010,"38,506","38,406",100,"10,639","7,771","2,697",171,"10,112",527,4.95%,3.798
,4/1/2010,"38,572","38,472",100,"10,651","7,778","2,703",170,"10,116",535,5.02%,3.803
,,,,,,,,,,,,
Imperial,4/1/2000,"7,289","3,194","4,095",961,748,151,62,899,62,6.45%,3.553
Calipatria,1/1/2001,"7,233","3,181","4,052",959,755,142,62,894,65,6.78%,3.558
,1/1/2002,"7,513","3,417","4,096","1,039",765,212,62,965,74,7.12%,3.541
,1/1/2003,"7,506","3,406","4,100","1,043",782,200,61,965,78,7.48%,3.530
,1/1/2004,"7,586","3,392","4,194","1,050",800,188,62,967,83,7.90%,3.508
,1/1/2005,"7,621","3,355","4,266","1,055",817,176,62,968,87,8.25%,3.466
,1/1/2006,"7,521","3,238","4,283","1,060",834,164,62,967,93,8.77%,3.349
,1/1/2007,"7,422","3,184","4,238","1,057",843,152,62,961,96,9.08%,3.313
,1/1/2008,"7,411","3,224","4,187","1,055",854,140,61,956,99,9.38%,3.372
,1/1/2009,"7,725","3,478","4,247","1,126",865,200,61,"1,017",109,9.68%,3.420
,1/1/2010,"7,797","3,495","4,302","1,122",873,188,61,"1,010",112,9.98%,3.460
,4/1/2010,"7,705","3,541","4,164","1,121",875,185,61,"1,008",113,10.08%,3.513
,,,,,,,,,,,,
Imperial,4/1/2000,"38,025","37,138",887,"12,323","7,042","3,963","1,318","11,499",824,6.69%,3.230
El Centro,1/1/2001,"38,166","37,284",882,"12,349","7,075","3,940","1,334","11,493",856,6.93%,3.244
,1/1/2002,"38,118","37,243",875,"12,400","7,133","3,912","1,355","11,501",899,7.25%,3.238
,1/1/2003,"38,456","37,589",867,"12,568","7,218","3,973","1,377","11,618",950,7.56%,3.235
,1/1/2004,"38,589","37,729",860,"12,698","7,346","3,954","1,398","11,699",999,7.87%,3.225
,1/1/2005,"39,147","38,294",853,"13,037","7,607","4,011","1,419","11,975","1,062",8.15%,3.198
,1/1/2006,"39,957","39,111",846,"13,798","8,250","4,108","1,440","12,645","1,153",8.36%,3.093
,1/1/2007,"39,617","38,778",839,"13,912","8,289","4,161","1,462","12,712","1,200",8.63%,3.051
,1/1/2008,"40,874","40,042",832,"14,150","8,411","4,256","1,483","12,894","1,256",8.88%,3.105
,1/1/2009,"41,804","40,979",825,"14,357","8,494","4,359","1,504","13,047","1,310",9.12%,3.141
,1/1/2010,"42,544","41,726",818,"14,477","8,510","4,441","1,526","13,119","1,358",9.38%,3.181
,4/1/2010,"42,598","41,782",816,"14,476","8,513","4,432","1,531","13,108","1,368",9.45%,3.188
,,,,,,,,,,,,
Imperial,4/1/2000,"5,612","5,482",130,"1,617","1,146",279,192,"1,564",53,3.28%,3.505
Holtville,1/1/2001,"5,607","5,487",120,"1,622","1,155",274,193,"1,564",58,3.58%,3.508
,1/1/2002,"5,553","5,446",107,"1,628","1,165",268,195,"1,562",66,4.05%,3.487
,1/1/2003,"5,499","5,405",94,"1,632","1,174",262,196,"1,558",74,4.53%,3.469
,1/1/2004,"5,432","5,351",81,"1,637","1,184",256,197,"1,555",82,5.01%,3.441
,1/1/2005,"5,336","5,268",68,"1,641","1,193",250,198,"1,552",89,5.42%,3.394
,1/1/2006,"5,384","5,329",55,"1,729","1,203",325,201,"1,630",99,5.73%,3.269
,1/1/2007,"5,739","5,697",42,"1,903","1,301",400,202,"1,782",121,6.36%,3.197
,1/1/2008,"5,881","5,852",29,"1,925","1,327",394,204,"1,804",121,6.29%,3.244
,1/1/2009,"5,899","5,883",16,"1,930","1,337",388,205,"1,801",129,6.68%,3.267
,1/1/2010,"5,944","5,941",3,"1,936","1,348",382,206,"1,800",136,7.02%,3.301
,4/1/2010,"5,939","5,939",0,"1,937","1,351",380,206,"1,799",138,7.12%,3.301
,,,,,,,,,,,,
Imperial,4/1/2000,"7,560","7,528",32,"2,385","1,965",391,29,"2,308",77,3.23%,3.262
Imperial,1/1/2001,"7,851","7,819",32,"2,470","2,016",422,32,"2,376",94,3.81%,3.291
,1/1/2002,"8,330","8,298",32,"2,629","2,131",463,35,"2,512",117,4.45%,3.303
,1/1/2003,"8,880","8,848",32,"2,808","2,259",505,44,"2,666",142,5.06%,3.319
,1/1/2004,"9,749","9,717",32,"3,094","2,500",546,48,"2,925",169,5.46%,3.322
,1/1/2005,"10,093","10,061",32,"3,231","2,592",588,51,"3,038",193,5.97%,3.312
,1/1/2006,"10,828","10,797",31,"3,571","2,871",645,55,"3,349",222,6.22%,3.224
,1/1/2007,"12,612","12,581",31,"4,268","3,515",695,58,"3,966",302,7.08%,3.172
,1/1/2008,"13,724","13,693",31,"4,532","3,699",771,62,"4,235",297,6.55%,3.233
,1/1/2009,"14,159","14,128",31,"4,629","3,750",813,66,"4,310",319,6.89%,3.278
,1/1/2010,"14,667","14,636",31,"4,737","3,814",854,69,"4,396",341,7.20%,3.329
,4/1/2010,"14,758","14,727",31,"4,751","3,816",865,70,"4,405",346,7.28%,3.343
,,,,,,,,,,,,
Imperial,4/1/2000,"2,131","2,131",0,667,437,192,38,625,42,6.30%,3.410
Westmorland,1/1/2001,"2,154","2,154",0,669,443,188,38,627,42,6.28%,3.435
,1/1/2002,"2,153","2,153",0,667,450,181,36,625,42,6.30%,3.445
,1/1/2003,"2,141","2,141",0,661,451,176,34,619,42,6.35%,3.459
,1/1/2004,"2,127","2,127",0,656,454,170,32,613,43,6.55%,3.470
,1/1/2005,"2,319","2,319",0,719,459,229,31,672,47,6.54%,3.451
,1/1/2006,"2,240","2,240",0,716,464,223,29,669,47,6.56%,3.348
,1/1/2007,"2,215","2,215",0,715,471,217,27,667,48,6.71%,3.321
,1/1/2008,"2,244","2,244",0,709,473,211,25,661,48,6.77%,3.395
,1/1/2009,"2,261","2,261",0,704,475,206,23,656,48,6.82%,3.447
,1/1/2010,"2,228","2,228",0,681,476,184,21,634,47,6.90%,3.514
,4/1/2010,"2,225","2,225",0,678,475,183,20,631,47,6.93%,3.526
,,,,,,,,,,,,
Imperial,4/1/2000,"109,778","104,219","5,559","31,974","21,082","8,592","2,300","30,340","1,634",5.11%,3.435
Incorporated,1/1/2001,"110,972","105,481","5,491","32,285","21,373","8,598","2,314","30,560","1,725",5.34%,3.452
,1/1/2002,"113,020","107,520","5,500","33,014","21,912","8,771","2,331","31,155","1,859",5.63%,3.451
,1/1/2003,"115,860","110,391","5,469","33,956","22,617","8,987","2,352","31,954","2,002",5.90%,3.455
,1/1/2004,"119,199","113,670","5,529","35,111","23,569","9,172","2,370","32,956","2,155",6.14%,3.449
,1/1/2005,"121,953","116,386","5,567","36,311","24,532","9,393","2,386","33,993","2,318",6.38%,3.424
,1/1/2006,"125,016","119,467","5,549","38,645","26,264","9,978","2,403","36,099","2,546",6.59%,3.309
,1/1/2007,"127,061","121,591","5,470","40,143","27,442","10,282","2,419","37,387","2,756",6.87%,3.252
,1/1/2008,"131,597","126,212","5,385","40,994","28,007","10,551","2,436","38,132","2,862",6.98%,3.310
,1/1/2009,"134,323","128,913","5,410","41,519","28,280","10,787","2,452","38,517","3,002",7.23%,3.347
,1/1/2010,"136,623","131,192","5,431","41,826","28,391","10,966","2,469","38,698","3,128",7.47%,3.390
,4/1/2010,"136,750","131,465","5,285","41,845","28,396","10,976","2,473","38,690","3,155",7.54%,3.398
,,,,,,,,,,,,
Imperial,4/1/2000,"32,583","27,098","5,485","11,917","5,987",532,"5,398","9,044","2,873",24.11%,2.996
Balance of County,1/1/2001,"32,969","27,425","5,544","11,942","5,976",579,"5,387","9,093","2,849",23.86%,3.016
,1/1/2002,"32,934","27,639","5,295","11,985","5,968",672,"5,345","9,134","2,851",23.79%,3.026
,1/1/2003,"33,181","27,643","5,538","11,904","5,935",671,"5,298","9,082","2,822",23.71%,3.044
,1/1/2004,"33,221","27,494","5,727","11,846","5,909",669,"5,268","9,046","2,800",23.64%,3.039
,1/1/2005,"33,840","27,838","6,002","12,008","5,969",772,"5,267","9,177","2,831",23.58%,3.033
,1/1/2006,"35,072","29,016","6,056","12,924","6,887",794,"5,243","9,879","3,045",23.56%,2.937
,1/1/2007,"37,646","31,369","6,277","14,378","8,278",864,"5,236","10,824","3,554",24.72%,2.898
,1/1/2008,"36,898","30,872","6,026","14,289","8,209",862,"5,218","10,405","3,884",27.18%,2.967
,1/1/2009,"37,347","31,459","5,888","14,312","8,137",977,"5,198","10,433","3,879",27.10%,3.015
,1/1/2010,"37,621","32,043","5,578","14,242","8,108",972,"5,162","10,419","3,823",26.84%,3.075
,4/1/2010,"37,778","32,379","5,399","14,222","8,091",972,"5,159","10,436","3,786",26.62%,3.103
,,,,,,,,,,,,
Imperial,4/1/2000,"142,361","131,317","11,044","43,891","27,069","9,124","7,698","39,384","4,507",10.27%,3.334
County Total,1/1/2001,"143,941","132,906","11,035","44,227","27,349","9,177","7,701","39,653","4,574",10.34%,3.352
,1/1/2002,"145,954","135,159","10,795","44,999","27,880","9,443","7,676","40,289","4,710",10.47%,3.355
,1/1/2003,"149,041","138,034","11,007","45,860","28,552","9,658","7,650","41,036","4,824",10.52%,3.364
,1/1/2004,"152,420","141,164","11,256","46,957","29,478","9,841","7,638","42,002","4,955",10.55%,3.361
,1/1/2005,"155,793","144,224","11,569","48,319","30,501","10,165","7,653","43,170","5,149",10.66%,3.341
,1/1/2006,"160,088","148,483","11,605","51,569","33,151","10,772","7,646","45,978","5,591",10.84%,3.229
,1/1/2007,"164,707","152,960","11,747","54,521","35,720","11,146","7,655","48,211","6,310",11.57%,3.173
,1/1/2008,"168,495","157,084","11,411","55,283","36,216","11,413","7,654","48,537","6,746",12.20%,3.236
,1/1/2009,"171,670","160,372","11,298","55,831","36,417","11,764","7,650","48,950","6,881",12.32%,3.276
,1/1/2010,"174,244","163,235","11,009","56,068","36,499","11,938","7,631","49,117","6,951",12.40%,3.323
,4/1/2010,"174,528","163,844","10,684","56,067","36,487","11,948","7,632","49,126","6,941",12.38%,3.335
,,,,,,,,,,,,
Inyo,4/1/2000,"3,575","3,498",77,"1,867",919,585,363,"1,684",183,9.80%,2.077
Bishop,1/1/2001,"3,613","3,534",79,"1,874",918,593,363,"1,692",182,9.71%,2.089
,1/1/2002,"3,661","3,579",82,"1,881",911,604,366,"1,699",182,9.68%,2.107
,1/1/2003,"3,706","3,620",86,"1,884",903,615,366,"1,702",182,9.66%,2.127
,1/1/2004,"3,728","3,639",89,"1,885",893,626,366,"1,704",181,9.60%,2.136
,1/1/2005,"3,745","3,653",92,"1,890",887,637,366,"1,710",180,9.52%,2.136
,1/1/2006,"3,743","3,648",95,"1,897",881,648,368,"1,717",180,9.49%,2.125
,1/1/2007,"3,760","3,662",98,"1,903",873,659,371,"1,724",179,9.41%,2.124
,1/1/2008,"3,794","3,693",101,"1,918",866,682,370,"1,739",179,9.33%,2.124
,1/1/2009,"3,823","3,719",104,"1,921",858,693,370,"1,742",179,9.32%,2.135
,1/1/2010,"3,865","3,758",107,"1,925",851,704,370,"1,747",178,9.25%,2.151
,4/1/2010,"3,879","3,771",108,"1,926",849,707,370,"1,748",178,9.24%,2.157
,,,,,,,,,,,,
Inyo,4/1/2000,"3,575","3,498",77,"1,867",919,585,363,"1,684",183,9.80%,2.077
Incorporated,1/1/2001,"3,613","3,534",79,"1,874",918,593,363,"1,692",182,9.71%,2.089
,1/1/2002,"3,661","3,579",82,"1,881",911,604,366,"1,699",182,9.68%,2.107
,1/1/2003,"3,706","3,620",86,"1,884",903,615,366,"1,702",182,9.66%,2.127
,1/1/2004,"3,728","3,639",89,"1,885",893,626,366,"1,704",181,9.60%,2.136
,1/1/2005,"3,745","3,653",92,"1,890",887,637,366,"1,710",180,9.52%,2.136
,1/1/2006,"3,743","3,648",95,"1,897",881,648,368,"1,717",180,9.49%,2.125
,1/1/2007,"3,760","3,662",98,"1,903",873,659,371,"1,724",179,9.41%,2.124
,1/1/2008,"3,794","3,693",101,"1,918",866,682,370,"1,739",179,9.33%,2.124
,1/1/2009,"3,823","3,719",104,"1,921",858,693,370,"1,742",179,9.32%,2.135
,1/1/2010,"3,865","3,758",107,"1,925",851,704,370,"1,747",178,9.25%,2.151
,4/1/2010,"3,879","3,771",108,"1,926",849,707,370,"1,748",178,9.24%,2.157
,,,,,,,,,,,,
Inyo,4/1/2000,"14,496","14,290",206,"7,175","4,736",290,"2,149","6,019","1,156",16.11%,2.374
Balance of County,1/1/2001,"14,549","14,334",215,"7,202","4,762",296,"2,144","6,040","1,162",16.13%,2.373
,1/1/2002,"14,650","14,423",227,"7,250","4,787",303,"2,160","6,076","1,174",16.19%,2.374
,1/1/2003,"14,755","14,510",245,"7,284","4,821",309,"2,154","6,102","1,182",16.23%,2.378
,1/1/2004,"14,805","14,550",255,"7,336","4,846",317,"2,173","6,141","1,195",16.29%,2.369
,1/1/2005,"14,766","14,495",271,"7,369","4,867",324,"2,178","6,165","1,204",16.34%,2.351
,1/1/2006,"14,699","14,418",281,"7,434","4,891",332,"2,211","6,217","1,217",16.37%,2.319
,1/1/2007,"14,674","14,377",297,"7,479","4,918",339,"2,222","6,250","1,229",16.43%,2.300
